time_period,time_identifier,geographic_level,country_name,country_code,sector,soc_4_labelled,soc_3_labelled,soc_2_labelled,soc_1_labelled,sample_occupations_estab_has_vacancy,vac_sum,htfv_sum,ssv_sum,htfv_den,ssv_den
2011,Calendar year,National,United Kingdom,K02000001,Total,2412 - Barristers and judges,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,3233 - Child and early years officers,Total,Total,Total,15,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,3441 - Sports players,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,3512 - Aircraft pilots and flight engineers,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,5235 - Aircraft maintenance and related trades,Total,Total,Total,18,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,4211 - Medical secretaries,Total,Total,Total,35,672.122153856033,30.7184075762872,16.1907330154398,4.57036081909406,2.4088973890463
2011,Calendar year,National,United Kingdom,K02000001,Total,"1173 - Senior officers in fire, ambulance, prison and related services",Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,2217 - Medical radiographers,Total,Total,Total,10,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,2222 - Occupational therapists,Total,Total,Total,15,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,2223 - Speech and language therapists,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,2232 - Midwives,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,2443 - Probation officers,Total,Total,Total,6,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,3217 - Pharmaceutical technicians,Total,Total,Total,12,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,6143 - Dental nurses,Total,Total,Total,62,1186.91889277831,351.377795945814,268.948405927834,29.604196047745,22.6593752584296
2011,Calendar year,National,United Kingdom,K02000001,Total,6147 - Care escorts,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,9271 - Hospital porters,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,1224 - Publicans and managers of licensed premises,Total,Total,Total,12,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,9239 - Elementary cleaning occupations n.e.c.,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,1255 - Waste disposal and environmental services managers,Total,Total,Total,8,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,5211 - Smiths and forge workers,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,"5212 - Moulders, core makers and die casters",Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,5232 - Vehicle body builders and repairers,Total,Total,Total,16,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,5411 - Weavers and knitters,Total,Total,Total,5,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,5421 - Pre-press technicians,Total,Total,Total,5,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,5431 - Butchers,Total,Total,Total,21,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,5432 - Bakers and flour confectioners,Total,Total,Total,20,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,"5441 - Glass and ceramics makers, decorators and finishers",Total,Total,Total,5,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,7115 - Vehicle and parts salespersons and advisers,Total,Total,Total,81,1124.27518122115,354.364688963188,294.77919249718,31.5193908824252,26.2194876682238
2011,Calendar year,National,United Kingdom,K02000001,Total,8114 - Chemical and related process operatives,Total,Total,Total,19,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,8115 - Rubber process operatives,Total,Total,Total,5,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,8116 - Plastics process operatives,Total,Total,Total,41,778.584807241018,101.830714251115,66.2447963969659,13.0789495638839,8.50835975488785
2011,Calendar year,National,United Kingdom,K02000001,Total,8117 - Metal making and treating process operatives,Total,Total,Total,7,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,8118 - Electroplaters,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,8123 - Quarry workers and related operatives,Total,Total,Total,13,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,5433 - Fishmongers and poultry dressers,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,8122 - Coal mine operatives,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,9235 - Refuse and salvage occupations,Total,Total,Total,23,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,3311 - Ncos and other ranks,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,3312 - Police officers (sergeant and below),Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,3314 - Prison service officers (below principal officer),Total,Total,Total,13,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,3315 - Police community support officers,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,3511 - Air traffic controllers,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,5234 - Vehicle paint technicians,Total,Total,Total,8,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,5237 - Rail and rolling stock builders and repairers,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,8239 - Other drivers and transport operatives n.e.c.,Total,Total,Total,10,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,9259 - Elementary sales occupations n.e.c.,Total,Total,Total,11,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,1252 - Garage managers and proprietors,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,2214 - Ophthalmic opticians,Total,Total,Total,14,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,2218 - Podiatrists,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,3216 - Dispensing opticians,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,5443 - Florists,Total,Total,Total,10,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,7124 - Market and street traders and assistants,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,"8135 - Tyre, exhaust and windscreen fitters",Total,Total,Total,17,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,8231 - Train and tram drivers,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,Total,Total,Total,Total,23391,582347.997139525,127786.111193762,91458.4419206708,21.9432558919141,15.7051183089685
2013,Calendar year,National,United Kingdom,K02000001,Total,1115 - Chief executives and senior officials,Total,Total,Total,19,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,1121 - Production managers and directors in manufacturing,Total,Total,Total,103,1401.39726828242,369.29692304292,339.026035847859,26.3520510137384,24.1920006211641
2013,Calendar year,National,United Kingdom,K02000001,Total,1122 - Production managers and directors in construction,Total,Total,Total,60,1414.60724713131,255.066659397125,236.429138469781,18.0309170559091,16.7134120759834
2013,Calendar year,National,United Kingdom,K02000001,Total,1131 - Financial managers and directors,Total,Total,Total,59,3065.13486830538,98.0694989290996,56.2519730180551,3.19951660017229,1.83522015946904
2013,Calendar year,National,United Kingdom,K02000001,Total,1132 - Marketing and sales directors,Total,Total,Total,28,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,1134 - Advertising and public relations directors,Total,Total,Total,9,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,1135 - Human resource managers and directors,Total,Total,Total,38,549.626267551618,76.2517585028387,62.8878872222437,13.8733832432195,11.441936263779
2013,Calendar year,National,United Kingdom,K02000001,Total,1139 - Functional managers and directors n.e.c.,Total,Total,Total,34,593.247005135111,118.93632202045,118.93632202045,20.0483645076915,20.0483645076915
2013,Calendar year,National,United Kingdom,K02000001,Total,1184 - Social services managers and directors,Total,Total,Total,27,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,1190 - Managers and directors in retail and wholesale,Total,Total,Total,261,5804.92879048631,1653.17408171084,1204.43098565241,28.4788003673745,20.7484196468758
2013,Calendar year,National,United Kingdom,K02000001,Total,1221 - Hotel and accommodation managers and proprietors,Total,Total,Total,41,456.776921491679,135.62291678869,65.2774587769424,29.6912804495007,14.2908837346178
2013,Calendar year,National,United Kingdom,K02000001,Total,1223 - Restaurant and catering establishment managers and proprietors,Total,Total,Total,93,978.510275647691,366.720631248804,264.941210428272,37.4774430453545,27.0759763103053
2013,Calendar year,National,United Kingdom,K02000001,Total,1225 - Leisure and sports managers,Total,Total,Total,67,541.407622823674,96.6227241233157,74.2937525860388,17.8465762301954,13.7223322048118
2013,Calendar year,National,United Kingdom,K02000001,Total,"1242 - Residential, day and domiciliary  care managers and proprietors",Total,Total,Total,80,1214.25786186569,370.078341010406,313.57054120217,30.4777389245629,25.8240486679141
2013,Calendar year,National,United Kingdom,K02000001,Total,"1251 - Property, housing and estate managers",Total,Total,Total,73,1224.47348246359,283.748872609977,240.47104622401,23.1731333241358,19.6387304149856
2013,Calendar year,National,United Kingdom,K02000001,Total,1253 - Hairdressing and beauty salon managers and proprietors,Total,Total,Total,6,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,1254 - Shopkeepers and proprietors – wholesale and retail,Total,Total,Total,7,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,1259 - Managers and proprietors in other services n.e.c.,Total,Total,Total,54,699.108079360464,193.537539099271,176.964183148014,27.6834934129665,25.3128505266165
2013,Calendar year,National,United Kingdom,K02000001,Total,2112 - Biological scientists and biochemists,Total,Total,Total,26,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,2126 - Design and development engineers,Total,Total,Total,106,1832.8581402243,961.697465873588,942.307161026511,52.4698253928097,51.4118981903965
2013,Calendar year,National,United Kingdom,K02000001,Total,2133 - It specialist managers,Total,Total,Total,42,715.960546159933,92.1142431507853,86.2894189375142,12.8658267057929,12.0522589408493
2013,Calendar year,National,United Kingdom,K02000001,Total,2136 - Programmers and software development professionals,Total,Total,Total,268,7430.9491675418,3726.56038397818,3605.1395673936,50.1491841749598,48.5151961897513
2013,Calendar year,National,United Kingdom,K02000001,Total,2137 - Web design and development professionals,Total,Total,Total,128,1824.5714858693,728.508637433222,632.918461616054,39.9276566073339,34.6886086140115
2013,Calendar year,National,United Kingdom,K02000001,Total,2139 - Information technology and telecommunications professionals n.e.c.,Total,Total,Total,89,2760.02868329591,1213.89933558091,1098.412097244,43.9814029081511,39.7971261636426
2013,Calendar year,National,United Kingdom,K02000001,Total,2141 - Conservation professionals,Total,Total,Total,12,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,2142 - Environment professionals,Total,Total,Total,28,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,2150 - Research and development managers,Total,Total,Total,29,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,2211 - Medical practitioners,Total,Total,Total,53,2238.24021978202,807.313634609448,723.448709645732,36.0691237461577,32.3222102458774
2013,Calendar year,National,United Kingdom,K02000001,Total,2212 - Psychologists,Total,Total,Total,15,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,2218 - Podiatrists,Total,Total,Total,c,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,2219 - Health professionals n.e.c.,Total,Total,Total,8,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,2221 - Physiotherapists,Total,Total,Total,15,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,2229 - Therapy professionals n.e.c.,Total,Total,Total,11,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,2231 - Nurses,Total,Total,Total,458,12422.0716014729,5397.97574325871,3712.32057002895,43.4547144505161,29.884874996122
2013,Calendar year,National,United Kingdom,K02000001,Total,2317 - Senior professionals of educational establishments,Total,Total,Total,126,1395.74699194343,186.73984237211,149.818326510893,13.3792043579542,10.7339172053157
2013,Calendar year,National,United Kingdom,K02000001,Total,2318 - Education advisers and school inspectors,Total,Total,Total,19,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,2319 - Teaching and other educational professionals n.e.c.,Total,Total,Total,146,3511.93957443789,1002.56824390872,554.969670335948,28.5474229456008,15.8023695616908
2013,Calendar year,National,United Kingdom,K02000001,Total,2413 - Solicitors,Total,Total,Total,72,1657.34310192685,423.032167963592,362.06878225754,25.5247188992895,21.8463383856122
2013,Calendar year,National,United Kingdom,K02000001,Total,2419 - Legal professionals n.e.c.,Total,Total,Total,21,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,2421 - Chartered and certified accountants,Total,Total,Total,93,1871.50368580741,381.67758680817,276.674507004576,20.3941669846888,14.7835405883912
2013,Calendar year,National,United Kingdom,K02000001,Total,2423 - Management consultants and business analysts,Total,Total,Total,93,4561.88181459272,1378.04219491444,1334.56613022762,30.2077574764498,29.2547283000309
2013,Calendar year,National,United Kingdom,K02000001,Total,2424 - Business and financial project management professionals,Total,Total,Total,108,2537.19961114824,796.12462789116,732.964965936446,31.3780841047372,28.8887386989916
2013,Calendar year,National,United Kingdom,K02000001,Total,"2429 - Business, research and administrative professionals n.e.c.",Total,Total,Total,19,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,2432 - Town planning officers,Total,Total,Total,12,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,2442 - Social workers,Total,Total,Total,31,1242.65521154127,555.111367462189,369.476545555488,44.6713909302067,29.7328287141872
2013,Calendar year,National,United Kingdom,K02000001,Total,2444 - Clergy,Total,Total,Total,17,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,2449 - Welfare professionals n.e.c.,Total,Total,Total,7,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,2451 - Librarians,Total,Total,Total,16,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,2452 - Archivists and curators,Total,Total,Total,19,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,2462 - Quality assurance and regulatory professionals,Total,Total,Total,40,823.510873257825,221.86815148272,221.86815148272,26.9417391667223,26.9417391667223
2013,Calendar year,National,United Kingdom,K02000001,Total,2463 - Environmental health professionals,Total,Total,Total,8,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,"2471 - Journalists, newspaper and periodical editors",Total,Total,Total,46,888.936640228328,114.70145621527,114.70145621527,12.9032206598895,12.9032206598895
2013,Calendar year,National,United Kingdom,K02000001,Total,2472 - Public relations professionals,Total,Total,Total,37,668.47379343057,354.382871379281,320.347297590583,53.0137269197357,47.9221924238163
2013,Calendar year,National,United Kingdom,K02000001,Total,2473 - Advertising accounts managers and creative directors,Total,Total,Total,40,804.082298099538,97.4848856632366,80.1349078827501,12.1237447825482,9.96600821484944
2013,Calendar year,National,United Kingdom,K02000001,Total,3112 - Electrical and electronics technicians,Total,Total,Total,10,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,3114 - Building and civil engineering technicians,Total,Total,Total,21,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,"3119 - Science, engineering and production technicians n.e.c.",Total,Total,Total,72,2068.91371194253,1251.22184587963,1148.54070100928,60.4772368541578,55.5141905812447
2013,Calendar year,National,United Kingdom,K02000001,Total,3121 - Architectural and town planning technicians,Total,Total,Total,29,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,3131 - It operations technicians,Total,Total,Total,123,4500.15486015905,515.234143669488,455.200002057554,11.4492536297135,10.1152075029139
2013,Calendar year,National,United Kingdom,K02000001,Total,3132 - It user support technicians,Total,Total,Total,136,3545.2094430995,748.308157930723,571.904929801063,21.1075867291071,16.1317670783664
2013,Calendar year,National,United Kingdom,K02000001,Total,3219 - Health associate professionals n.e.c.,Total,Total,Total,24,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,3231 - Youth and community workers,Total,Total,Total,155,2923.12704466895,889.522204993376,549.903668394366,30.4305010148512,18.8121713490781
2013,Calendar year,National,United Kingdom,K02000001,Total,3234 - Housing officers,Total,Total,Total,75,2192.78287219387,247.370272255933,123.737589086131,11.281111111947,5.64294762856902
2013,Calendar year,National,United Kingdom,K02000001,Total,3235 - Counsellors,Total,Total,Total,16,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,3239 - Welfare and housing associate professionals n.e.c.,Total,Total,Total,272,7132.73309405642,1703.83119870741,785.966115149998,23.8874941237768,11.0191437810133
2013,Calendar year,National,United Kingdom,K02000001,Total,3411 - Artists,Total,Total,Total,9,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,"3412 - Authors, writers and translators",Total,Total,Total,33,675.056537683181,240.200516734994,240.200516734994,35.58228138333,35.58228138333
2013,Calendar year,National,United Kingdom,K02000001,Total,"3413 - Actors, entertainers and presenters",Total,Total,Total,8,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,3414 - Dancers and choreographers,Total,Total,Total,6,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,3415 - Musicians,Total,Total,Total,5,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,"3416 - Arts officers, producers and directors",Total,Total,Total,28,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,"3417 - Photographers, audio-visual and broadcasting equipment operators",Total,Total,Total,29,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,3421 - Graphic designers,Total,Total,Total,103,1790.8371222583,414.44771497816,377.459447564744,23.1426805836775,21.0772628550807
2013,Calendar year,National,United Kingdom,K02000001,Total,3441 - Sports players,Total,Total,Total,c,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,"3442 - Sports coaches, instructors and officials",Total,Total,Total,90,1632.04690604632,577.008294304984,514.539695769087,35.354884235699,31.5272614937014
2013,Calendar year,National,United Kingdom,K02000001,Total,3443 - Fitness instructors,Total,Total,Total,69,930.528767780311,259.605638032088,219.228187582735,27.89872242761,23.5595282138008
2013,Calendar year,National,United Kingdom,K02000001,Total,3513 - Ship and hovercraft officers,Total,Total,Total,7,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,3520 - Legal associate professionals,Total,Total,Total,42,987.411025124265,54.7531932225652,47.6310717353087,5.54512678402336,4.82383430236809
2013,Calendar year,National,United Kingdom,K02000001,Total,3532 - Brokers,Total,Total,Total,29,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,3534 - Finance and investment analysts and advisers,Total,Total,Total,75,1851.67203142075,536.943427847474,433.949529145321,28.9977608742887,23.4355502368506
2013,Calendar year,National,United Kingdom,K02000001,Total,3538 - Financial accounts managers,Total,Total,Total,69,1492.22404613737,250.090948115698,197.430426562881,16.7596111832577,13.2306155415422
2013,Calendar year,National,United Kingdom,K02000001,Total,3539 - Business and related associate professionals n.e.c.,Total,Total,Total,84,2710.26175543875,423.687824066501,389.663991709741,15.6327271052796,14.3773563910494
2013,Calendar year,National,United Kingdom,K02000001,Total,3541 - Buyers and procurement officers,Total,Total,Total,43,1386.42805848605,657.180223016761,634.747892572309,47.4009609798568,45.7829664285241
2013,Calendar year,National,United Kingdom,K02000001,Total,3542 - Business sales executives,Total,Total,Total,420,9005.97757053118,3814.62105282794,2612.26850649828,42.3565462266963,29.0059406215489
2013,Calendar year,National,United Kingdom,K02000001,Total,3543 - Marketing associate professionals,Total,Total,Total,284,6797.77607663765,1972.62302632998,1754.55043398834,29.0186526312542,25.810653575635
2013,Calendar year,National,United Kingdom,K02000001,Total,3545 - Sales accounts and business development managers,Total,Total,Total,328,5665.45517300611,1649.48179941072,1521.3341871318,29.1147268673118,26.8528148343741
2013,Calendar year,National,United Kingdom,K02000001,Total,3546 - Conference and exhibition managers and organisers,Total,Total,Total,87,1586.65767875872,287.921065149943,279.719069868251,18.1463884115943,17.6294530076004
2013,Calendar year,National,United Kingdom,K02000001,Total,3550 - Conservation and environmental associate professionals,Total,Total,Total,11,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,3562 - Human resources and industrial relations officers,Total,Total,Total,314,11278.5943593458,5153.09792061669,4934.30678681939,45.6891856949059,43.7493062487052
2013,Calendar year,National,United Kingdom,K02000001,Total,3563 - Vocational and industrial trainers and instructors,Total,Total,Total,171,3730.44620808588,1077.44082629718,1060.92547087571,28.8823579324581,28.439639970578
2013,Calendar year,National,United Kingdom,K02000001,Total,3564 - Careers advisers and vocational guidance specialists,Total,Total,Total,18,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,3565 - Inspectors of standards and regulations,Total,Total,Total,19,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,3567 - Health and safety officers,Total,Total,Total,30,657.926300353756,407.52884225551,347.689987205053,61.9414122883351,52.8463426706161
2013,Calendar year,National,United Kingdom,K02000001,Total,4112 - National government administrative occupations,Total,Total,Total,33,2595.23091534491,194.435116983999,88.0735899444221,7.49201606047294,3.39367065272175
2013,Calendar year,National,United Kingdom,K02000001,Total,4113 - Local government administrative occupations,Total,Total,Total,44,1185.87135812668,15.6035277667731,15.6035277667731,1.31578587001393,1.31578587001393
2013,Calendar year,National,United Kingdom,K02000001,Total,4114 - Officers of non-governmental organisations,Total,Total,Total,44,477.971690288196,5.44743042817211,5.44743042817211,1.13969729564685,1.13969729564685
2013,Calendar year,National,United Kingdom,K02000001,Total,"4122 - Book-keepers, payroll managers and wages clerks",Total,Total,Total,257,6114.25794613213,1965.95057143538,1854.75500377879,32.1535432223471,30.3349158658264
2013,Calendar year,National,United Kingdom,K02000001,Total,4123 - Bank and post office clerks,Total,Total,Total,88,2029.76533003588,434.122460894936,345.340490304997,21.387815353377,17.0138136263709
2013,Calendar year,National,United Kingdom,K02000001,Total,4124 - Finance officers,Total,Total,Total,14,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,4129 - Financial administrative occupations n.e.c.,Total,Total,Total,134,2942.6112469106,291.737618547799,188.33098090653,9.91424262563017,6.40013121353545
2013,Calendar year,National,United Kingdom,K02000001,Total,4131 - Records clerks and assistants,Total,Total,Total,90,1557.28958634556,286.63874851584,201.684593172081,18.406258606563,12.9510012100811
2013,Calendar year,National,United Kingdom,K02000001,Total,4135 - Library clerks and assistants,Total,Total,Total,81,1440.9821601847,231.633114346803,96.460644115564,16.0746691213105,6.69409009915847
2013,Calendar year,National,United Kingdom,K02000001,Total,4138 - Human resources administrative occupations,Total,Total,Total,38,775.664831041015,88.7707072303207,80.7687684169804,11.4444672077219,10.4128439481498
2013,Calendar year,National,United Kingdom,K02000001,Total,4151 - Sales administrators,Total,Total,Total,145,2596.49582160085,662.730989583761,605.053720499211,25.5240537677876,23.302703415335
2013,Calendar year,National,United Kingdom,K02000001,Total,4159 - Other administrative occupations n.e.c.,Total,Total,Total,985,23819.9491765721,3468.75010193257,2630.24682722856,14.5623740681371,11.0422016761292
2013,Calendar year,National,United Kingdom,K02000001,Total,4161 - Office managers,Total,Total,Total,54,1184.62460159125,205.296395135028,176.687389251569,17.3300803359363,14.9150531750086
2013,Calendar year,National,United Kingdom,K02000001,Total,4162 - Office supervisors,Total,Total,Total,16,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,4213 - School secretaries,Total,Total,Total,81,799.80671966193,61.3118619737102,41.0312216500579,7.66583481564472,5.1301421507688
2013,Calendar year,National,United Kingdom,K02000001,Total,4215 - Personal assistants and other secretaries,Total,Total,Total,109,1950.93042427341,198.493466118518,198.493466118518,10.1742975376707,10.1742975376707
2013,Calendar year,National,United Kingdom,K02000001,Total,4216 - Receptionists,Total,Total,Total,517,6895.56771613625,1513.40765896381,1242.32325887499,21.9475425558116,18.0162578342585
2013,Calendar year,National,United Kingdom,K02000001,Total,4217 - Typists and related keyboard occupations,Total,Total,Total,28,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,5111 - Farmers,Total,Total,Total,13,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,5112 - Horticultural trades,Total,Total,Total,13,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,5113 - Gardeners and landscape gardeners,Total,Total,Total,62,1563.01803703813,739.406024923041,692.929911396785,47.3063014886375,44.33281606333
2013,Calendar year,National,United Kingdom,K02000001,Total,5114 - Groundsmen and greenkeepers,Total,Total,Total,19,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,5223 - Metal working production and maintenance fitters,Total,Total,Total,311,5612.01771484043,2678.2536250929,2451.25887951285,47.7235418913687,43.6787445098531
2013,Calendar year,National,United Kingdom,K02000001,Total,5224 - Precision instrument makers and repairers,Total,Total,Total,18,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,"5231 - Vehicle technicians, mechanics and electricians",Total,Total,Total,304,5726.24620353593,2804.75600795056,2360.21824567932,48.9807093208574,41.2175474435923
2013,Calendar year,National,United Kingdom,K02000001,Total,5236 - Boat and ship builders and repairers,Total,Total,Total,10,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,5241 - Electricians and electrical fitters,Total,Total,Total,151,2719.73368916724,922.901278322125,707.634270879373,33.9335164320705,26.0185132720125
2013,Calendar year,National,United Kingdom,K02000001,Total,"5244 - Tv, video and audio engineers",Total,Total,Total,10,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,5312 - Bricklayers and masons,Total,Total,Total,30,792.805137871682,410.28295788276,375.306128928056,51.7507945248919,47.3390132076566
2013,Calendar year,National,United Kingdom,K02000001,Total,5315 - Carpenters and joiners,Total,Total,Total,88,1836.5166409288,683.385314257497,338.735635787521,37.2109513754192,18.4444631885399
2013,Calendar year,National,United Kingdom,K02000001,Total,5319 - Construction and building trades n.e.c.,Total,Total,Total,63,1586.12771886048,466.898895650228,347.064132843613,29.4363997361865,21.8812223452569
2013,Calendar year,National,United Kingdom,K02000001,Total,5414 - Tailors and dressmakers,Total,Total,Total,7,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,"5419 - Textiles, garments and related trades n.e.c.",Total,Total,Total,9,u,u,u,u,u
2013,Calendar year,National,United Kingdom,K02000001,Total,5434 - Chefs,Total,Total,Total,720,9017.15331747328,5223.90714291812,4214.55784159267,57.9329968006126,46.7393388268754
2013,Calendar year,National,United Kingdom,K02000001,Total,5435 - Cooks,Total,Total,Total,117,1854.34172090928,550.546872511342,350.233877751106,29.6896125618842,18.8872349579325
2013,Calendar year,National,United Kingdom,K02000001,Total,5436 - Catering and bar managers,Total,Total,Total,71,786.246947656215,340.75848289654,261.213174463321,43.339879908257,33.2227902749883
2013,Calendar year,National,United Kingdom,K02000001,Total,5449 - Other skilled trades n.e.c.,Total,Total,Total,19,u,u,u,u,u
