time_period,time_identifier,geographic_level,country_code,country_name,institution_group,institution_type,breakdown_topic,breakdown,data_type,version,inst_count,cohort,overall,education,fe,ssf,sfc,other_edu,ind,appru,special,spi,edu_combo,he,appren,appl3,appl2,all_work,all_notsust,notsust,notsust_ben,only_ben,all_unknown,unknown_id,unknown
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female Any Other Mixed Background,Number of students,Revised,z,2818,2694,2622,c,c,c,38,c,c,c,c,c,c,36,c,c,36,81,c,c,c,43,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female Any Other Mixed Background,Percentage,Revised,z,2818,95.6,93,c,c,c,1.3,c,c,c,c,c,c,1.3,c,c,1.3,2.9,c,c,c,1.5,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female Any Other White Background,Number of students,Revised,z,9973,9301,9127,c,c,c,94,c,c,c,c,c,c,70,c,c,104,310,c,c,c,362,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female Any Other White Background,Percentage,Revised,z,9973,93.3,91.5,c,c,c,0.9,c,c,c,c,c,c,0.7,c,c,1,3.1,c,c,c,3.6,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female Bangladeshi,Number of students,Revised,z,2531,2489,2470,c,c,c,21,c,c,c,c,c,c,11,c,c,8,30,c,c,c,12,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female Bangladeshi,Percentage,Revised,z,2531,98.3,97.6,c,c,c,0.8,c,c,c,c,c,c,0.4,c,c,0.3,1.2,c,c,c,0.5,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female Black - African,Number of students,Revised,z,4424,4310,4283,c,c,c,42,c,c,c,c,c,c,11,c,c,16,55,c,c,c,59,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female Black - African,Percentage,Revised,z,4424,97.4,96.8,c,c,c,0.9,c,c,c,c,c,c,0.2,c,c,0.4,1.2,c,c,c,1.3,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female Black Caribbean,Number of students,Revised,z,1778,1722,1690,c,c,c,11,c,c,c,c,c,c,13,c,c,19,39,c,c,c,17,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female Black Caribbean,Percentage,Revised,z,1778,96.9,95.1,c,c,c,0.6,c,c,c,c,c,c,0.7,c,c,1.1,2.2,c,c,c,1,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female Chinese,Number of students,Revised,z,825,813,811,c,c,c,23,c,c,c,c,c,c,0,c,c,2,5,c,c,c,7,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female Chinese,Percentage,Revised,z,825,98.5,98.3,c,c,c,2.8,c,c,c,c,c,c,0,c,c,0.2,0.6,c,c,c,0.8,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female Gypsy / Roma,Number of students,Revised,z,224,156,132,c,c,c,0,c,c,c,c,c,c,7,c,c,17,34,c,c,c,34,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female Gypsy / Roma,Percentage,Revised,z,224,69.6,58.9,c,c,c,0,c,c,c,c,c,c,3.1,c,c,7.6,15.2,c,c,c,15.2,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female Indian,Number of students,Revised,z,6011,5913,5869,c,c,c,51,c,c,c,c,c,c,34,c,c,10,48,c,c,c,50,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female Indian,Percentage,Revised,z,6011,98.4,97.6,c,c,c,0.8,c,c,c,c,c,c,0.6,c,c,0.2,0.8,c,c,c,0.8,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female Pakistani,Number of students,Revised,z,6978,6765,6672,c,c,c,47,c,c,c,c,c,c,62,c,c,31,119,c,c,c,94,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female Pakistani,Percentage,Revised,z,6978,96.9,95.6,c,c,c,0.7,c,c,c,c,c,c,0.9,c,c,0.4,1.7,c,c,c,1.3,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female Traveller of Irish Heritage,Number of students,Revised,z,5,4,3,c,c,c,0,c,c,c,c,c,c,1,c,c,0,1,c,c,c,0,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female Traveller of Irish Heritage,Percentage,Revised,z,5,80,60,c,c,c,0,c,c,c,c,c,c,20,c,c,0,20,c,c,c,0,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female Unclassified,Number of students,Revised,z,2378,2189,2037,c,c,c,38,c,c,c,c,c,c,79,c,c,73,124,c,c,c,65,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female Unclassified,Percentage,Revised,z,2378,92.1,85.7,c,c,c,1.6,c,c,c,c,c,c,3.3,c,c,3.1,5.2,c,c,c,2.7,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female White - British,Number of students,Revised,z,136092,131306,122859,c,c,c,1318,c,c,c,c,c,c,5356,c,c,3091,3889,c,c,c,897,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female White - British,Percentage,Revised,z,136092,96.5,90.3,c,c,c,1,c,c,c,c,c,c,3.9,c,c,2.3,2.9,c,c,c,0.7,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female White - Irish,Number of students,Revised,z,627,608,597,c,c,c,7,c,c,c,c,c,c,8,c,c,3,15,c,c,c,4,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female White - Irish,Percentage,Revised,z,627,97,95.2,c,c,c,1.1,c,c,c,c,c,c,1.3,c,c,0.5,2.4,c,c,c,0.6,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female White and Asian,Number of students,Revised,z,1989,1929,1876,c,c,c,39,c,c,c,c,c,c,30,c,c,23,41,c,c,c,19,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female White and Asian,Percentage,Revised,z,1989,97,94.3,c,c,c,2,c,c,c,c,c,c,1.5,c,c,1.2,2.1,c,c,c,1,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female White and Black African,Number of students,Revised,z,846,808,790,c,c,c,13,c,c,c,c,c,c,9,c,c,9,19,c,c,c,19,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female White and Black African,Percentage,Revised,z,846,95.5,93.4,c,c,c,1.5,c,c,c,c,c,c,1.1,c,c,1.1,2.2,c,c,c,2.2,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female White and Black Caribbean,Number of students,Revised,z,1916,1831,1745,c,c,c,22,c,c,c,c,c,c,43,c,c,43,67,c,c,c,18,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Female White and Black Caribbean,Percentage,Revised,z,1916,95.6,91.1,c,c,c,1.1,c,c,c,c,c,c,2.2,c,c,2.2,3.5,c,c,c,0.9,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Any Other Asian Background,Number of students,Revised,z,3501,3361,3320,c,c,c,31,c,c,c,c,c,c,18,c,c,23,82,c,c,c,58,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Any Other Asian Background,Percentage,Revised,z,3501,96,94.8,c,c,c,0.9,c,c,c,c,c,c,0.5,c,c,0.7,2.3,c,c,c,1.7,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Any Other Black Background,Number of students,Revised,z,910,856,834,c,c,c,5,c,c,c,c,c,c,16,c,c,6,30,c,c,c,24,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Any Other Black Background,Percentage,Revised,z,910,94.1,91.6,c,c,c,0.5,c,c,c,c,c,c,1.8,c,c,0.7,3.3,c,c,c,2.6,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Any Other Ethnic Group,Number of students,Revised,z,2434,2251,2210,c,c,c,29,c,c,c,c,c,c,23,c,c,18,94,c,c,c,89,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Any Other Ethnic Group,Percentage,Revised,z,2434,92.5,90.8,c,c,c,1.2,c,c,c,c,c,c,0.9,c,c,0.7,3.9,c,c,c,3.7,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Any Other Mixed Background,Number of students,Revised,z,2989,2836,2735,c,c,c,23,c,c,c,c,c,c,56,c,c,45,101,c,c,c,52,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Any Other Mixed Background,Percentage,Revised,z,2989,94.9,91.5,c,c,c,0.8,c,c,c,c,c,c,1.9,c,c,1.5,3.4,c,c,c,1.7,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Any Other White Background,Number of students,Revised,z,10313,9479,9166,c,c,c,73,c,c,c,c,c,c,145,c,c,168,406,c,c,c,428,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Any Other White Background,Percentage,Revised,z,10313,91.9,88.9,c,c,c,0.7,c,c,c,c,c,c,1.4,c,c,1.6,3.9,c,c,c,4.2,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Bangladeshi,Number of students,Revised,z,2483,2360,2340,c,c,c,13,c,c,c,c,c,c,5,c,c,15,87,c,c,c,36,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Bangladeshi,Percentage,Revised,z,2483,95,94.2,c,c,c,0.5,c,c,c,c,c,c,0.2,c,c,0.6,3.5,c,c,c,1.4,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Black - African,Number of students,Revised,z,4436,4251,4189,c,c,c,36,c,c,c,c,c,c,46,c,c,16,106,c,c,c,79,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Black - African,Percentage,Revised,z,4436,95.8,94.4,c,c,c,0.8,c,c,c,c,c,c,1,c,c,0.4,2.4,c,c,c,1.8,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Black Caribbean,Number of students,Revised,z,1669,1582,1531,c,c,c,11,c,c,c,c,c,c,32,c,c,19,63,c,c,c,24,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Black Caribbean,Percentage,Revised,z,1669,94.8,91.7,c,c,c,0.7,c,c,c,c,c,c,1.9,c,c,1.1,3.8,c,c,c,1.4,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Chinese,Number of students,Revised,z,763,749,743,c,c,c,14,c,c,c,c,c,c,2,c,c,4,5,c,c,c,9,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Chinese,Percentage,Revised,z,763,98.2,97.4,c,c,c,1.8,c,c,c,c,c,c,0.3,c,c,0.5,0.7,c,c,c,1.2,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Gypsy / Roma,Number of students,Revised,z,218,132,110,c,c,c,1,c,c,c,c,c,c,5,c,c,17,38,c,c,c,48,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Gypsy / Roma,Percentage,Revised,z,218,60.6,50.5,c,c,c,0.5,c,c,c,c,c,c,2.3,c,c,7.8,17.4,c,c,c,22,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Indian,Number of students,Revised,z,6330,6157,6065,c,c,c,57,c,c,c,c,c,c,61,c,c,31,118,c,c,c,55,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Indian,Percentage,Revised,z,6330,97.3,95.8,c,c,c,0.9,c,c,c,c,c,c,1,c,c,0.5,1.9,c,c,c,0.9,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Pakistani,Number of students,Revised,z,7213,6753,6624,c,c,c,60,c,c,c,c,c,c,73,c,c,56,309,c,c,c,151,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Pakistani,Percentage,Revised,z,7213,93.6,91.8,c,c,c,0.8,c,c,c,c,c,c,1,c,c,0.8,4.3,c,c,c,2.1,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Traveller of Irish Heritage,Number of students,Revised,z,10,8,8,c,c,c,0,c,c,c,c,c,c,0,c,c,0,1,c,c,c,1,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Traveller of Irish Heritage,Percentage,Revised,z,10,80,80,c,c,c,0,c,c,c,c,c,c,0,c,c,0,10,c,c,c,10,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Unclassified,Number of students,Revised,z,2652,2376,2188,c,c,c,35,c,c,c,c,c,c,115,c,c,73,187,c,c,c,89,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male Unclassified,Percentage,Revised,z,2652,89.6,82.5,c,c,c,1.3,c,c,c,c,c,c,4.3,c,c,2.8,7.1,c,c,c,3.4,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male White - British,Number of students,Revised,z,141347,134384,119655,c,c,c,1092,c,c,c,c,c,c,10551,c,c,4178,5184,c,c,c,1779,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male White - British,Percentage,Revised,z,141347,95.1,84.7,c,c,c,0.8,c,c,c,c,c,c,7.5,c,c,3,3.7,c,c,c,1.3,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male White - Irish,Number of students,Revised,z,649,628,592,c,c,c,9,c,c,c,c,c,c,27,c,c,9,13,c,c,c,8,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male White - Irish,Percentage,Revised,z,649,96.8,91.2,c,c,c,1.4,c,c,c,c,c,c,4.2,c,c,1.4,2,c,c,c,1.2,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male White and Asian,Number of students,Revised,z,2051,1953,1882,c,c,c,17,c,c,c,c,c,c,52,c,c,19,69,c,c,c,29,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male White and Asian,Percentage,Revised,z,2051,95.2,91.8,c,c,c,0.8,c,c,c,c,c,c,2.5,c,c,0.9,3.4,c,c,c,1.4,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male White and Black African,Number of students,Revised,z,841,780,751,c,c,c,8,c,c,c,c,c,c,20,c,c,9,38,c,c,c,23,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male White and Black African,Percentage,Revised,z,841,92.7,89.3,c,c,c,1,c,c,c,c,c,c,2.4,c,c,1.1,4.5,c,c,c,2.7,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male White and Black Caribbean,Number of students,Revised,z,1892,1747,1610,c,c,c,22,c,c,c,c,c,c,94,c,c,43,107,c,c,c,38,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Sex and Ethnicity Minor,Not disadvantaged Male White and Black Caribbean,Percentage,Revised,z,1892,92.3,85.1,c,c,c,1.2,c,c,c,c,c,c,5,c,c,2.3,5.7,c,c,c,2,c,c
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Major,Any other ethnic group,Number of students,Revised,z,8464,7866,7748,2353,4127,1181,87,67,2,3,1,13,1,57,24,33,61,341,322,11,8,257,160,97
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Major,Any other ethnic group,Percentage,Revised,z,8464,92.9,91.5,27.8,48.8,14,1,0.8,low,low,low,0.2,low,0.7,0.3,0.4,0.7,4,3.8,0.1,0.1,3,1.9,1.1
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Major,Asian or Asian British,Number of students,Revised,z,56883,54348,53612,13123,28759,11273,457,332,11,29,4,75,6,413,138,275,323,1690,1622,43,25,845,726,119
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Major,Asian or Asian British,Percentage,Revised,z,56883,95.5,94.2,23.1,50.6,19.8,0.8,0.6,low,0.1,low,0.1,low,0.7,0.2,0.5,0.6,3,2.9,0.1,low,1.5,1.3,0.2
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Major,Black or Black British,Number of students,Revised,z,28335,26776,26358,7829,13316,5002,211,125,10,19,2,54,1,227,146,81,191,1046,993,44,9,513,440,73
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Major,Black or Black British,Percentage,Revised,z,28335,94.5,93,27.6,47,17.7,0.7,0.4,low,0.1,low,0.2,low,0.8,0.5,0.3,0.7,3.7,3.5,0.2,low,1.8,1.6,0.3
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Major,Mixed Dual background,Number of students,Revised,z,24142,22225,21253,7631,10055,3320,247,165,11,22,4,44,1,531,218,313,441,1407,1299,69,39,510,453,57
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Major,Mixed Dual background,Percentage,Revised,z,24142,92.1,88,31.6,41.6,13.8,1,0.7,low,0.1,low,0.2,low,2.2,0.9,1.3,1.8,5.8,5.4,0.3,0.2,2.1,1.9,0.2
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Major,Unclassified,Number of students,Revised,z,7045,6275,5822,2673,2269,796,84,56,16,2,1,9,0,251,66,185,202,532,460,43,29,238,204,34
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Major,Unclassified,Percentage,Revised,z,7045,89.1,82.6,37.9,32.2,11.3,1.2,0.8,0.2,low,low,0.1,0,3.6,0.9,2.6,2.9,7.6,6.5,0.6,0.4,3.4,2.9,0.5
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Major,White,Number of students,Revised,z,388493,361548,330854,145184,134613,47755,3302,1621,166,287,94,1085,49,19766,6029,13737,10928,20189,18049,1290,850,6756,6304,452
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Major,White,Percentage,Revised,z,388493,93.1,85.2,37.4,34.7,12.3,0.8,0.4,low,0.1,low,0.3,low,5.1,1.6,3.5,2.8,5.2,4.6,0.3,0.2,1.7,1.6,0.1
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Minor,Any Other Asian Background,Number of students,Revised,z,8834,8476,8392,1729,5124,1456,83,58,1,4,1,16,3,37,13,24,47,209,197,10,2,149,103,46
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Minor,Any Other Asian Background,Percentage,Revised,z,8834,95.9,95,19.6,58,16.5,0.9,0.7,low,low,low,0.2,low,0.4,0.1,0.3,0.5,2.4,2.2,0.1,low,1.7,1.2,0.5
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Minor,Any Other Black Background,Number of students,Revised,z,3548,3342,3284,1170,1389,708,17,8,1,2,1,5,0,37,23,14,21,143,133,8,2,63,49,14
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Minor,Any Other Black Background,Percentage,Revised,z,3548,94.2,92.6,33,39.1,20,0.5,0.2,low,0.1,low,0.1,0,1,0.6,0.4,0.6,4,3.7,0.2,0.1,1.8,1.4,0.4
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Minor,Any Other Ethnic Group,Number of students,Revised,z,8464,7866,7748,2353,4127,1181,87,67,2,3,1,13,1,57,24,33,61,341,322,11,8,257,160,97
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Minor,Any Other Ethnic Group,Percentage,Revised,z,8464,92.9,91.5,27.8,48.8,14,1,0.8,low,low,low,0.2,low,0.7,0.3,0.4,0.7,4,3.8,0.1,0.1,3,1.9,1.1
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Minor,Any Other Mixed Background,Number of students,Revised,z,8885,8261,7983,2507,4119,1277,80,61,3,6,2,8,0,135,58,77,143,453,420,19,14,171,139,32
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Minor,Any Other Mixed Background,Percentage,Revised,z,8885,93,89.8,28.2,46.4,14.4,0.9,0.7,low,0.1,low,0.1,0,1.5,0.7,0.9,1.6,5.1,4.7,0.2,0.2,1.9,1.6,0.4
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Minor,Any Other White Background,Number of students,Revised,z,25856,23663,23010,8893,10455,3452,210,138,11,12,5,42,2,293,103,190,360,1166,1100,33,33,1027,750,277
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Minor,Any Other White Background,Percentage,Revised,z,25856,91.5,89,34.4,40.4,13.4,0.8,0.5,low,low,low,0.2,low,1.1,0.4,0.7,1.4,4.5,4.3,0.1,0.1,4,2.9,1.1
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Minor,Bangladeshi,Number of students,Revised,z,9267,8883,8780,2051,4791,1876,62,43,2,3,1,13,0,43,10,33,60,287,279,4,4,97,86,11
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Minor,Bangladeshi,Percentage,Revised,z,9267,95.9,94.7,22.1,51.7,20.2,0.7,0.5,low,low,low,0.1,0,0.5,0.1,0.4,0.6,3.1,3,low,low,1,0.9,0.1
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Minor,Black - African,Number of students,Revised,z,18028,17158,16974,3944,9664,3223,143,99,3,10,0,30,1,105,77,28,79,523,511,12,0,347,296,51
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Minor,Black - African,Percentage,Revised,z,18028,95.2,94.2,21.9,53.6,17.9,0.8,0.5,low,0.1,0,0.2,low,0.6,0.4,0.2,0.4,2.9,2.8,0.1,0,1.9,1.6,0.3
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Minor,Black Caribbean,Number of students,Revised,z,6759,6276,6100,2715,2263,1071,51,18,6,7,1,19,0,85,46,39,91,380,349,24,7,103,95,8
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Minor,Black Caribbean,Percentage,Revised,z,6759,92.9,90.3,40.2,33.5,15.8,0.8,0.3,0.1,0.1,low,0.3,0,1.3,0.7,0.6,1.3,5.6,5.2,0.4,0.1,1.5,1.4,0.1
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Minor,Chinese,Number of students,Revised,z,1854,1824,1815,276,1183,311,45,41,1,0,1,2,0,2,0,2,7,13,12,1,0,17,8,9
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Minor,Chinese,Percentage,Revised,z,1854,98.4,97.9,14.9,63.8,16.8,2.4,2.2,0.1,0,0.1,0.1,0,0.1,0,0.1,0.4,0.7,0.6,0.1,0,0.9,0.4,0.5
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Minor,Gypsy / Roma,Number of students,Revised,z,1055,652,569,445,89,34,1,0,0,0,1,0,0,21,2,19,62,210,186,11,13,193,183,10
201718,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Ethnicity Minor,Gypsy / Roma,Percentage,Revised,z,1055,61.8,53.9,42.2,8.4,3.2,0.1,0,0,0,0.1,0,0,2,0.2,1.8,5.9,19.9,17.6,1,1.2,18.3,17.3,0.9
