"metric","breakdown","geogConcat","subgroup","Occupation (SOC2020 Major Group)"
"achievements","Level","Dorset LSIP","Further education and skills: Level 4+","All"
"achievements","Level","Dorset LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","East Midlands CA","Further education and skills: Level 2","All"
"achievements","Level","East Midlands CA","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","East Midlands CA","Further education and skills: No Level Assigned","All"
"achievements","Level","East Midlands CA","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","East Midlands CA","Further education and skills: Level 3","All"
"achievements","Level","East Midlands CA","Further education and skills: Full Level 3","All"
"achievements","Level","East Midlands CA","Further education and skills: Level 4+","All"
"achievements","Level","East Midlands CA","Further education and skills: Full Level 2","All"
"achievements","Level","East Midlands LSIP","Further education and skills: Level 2","All"
"achievements","Level","East Midlands LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","East Midlands LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","East Midlands LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","East Midlands LSIP","Further education and skills: Level 3","All"
"achievements","Level","East Midlands LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","East Midlands LSIP","Further education and skills: Level 4+","All"
"achievements","Level","East Midlands LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","England","Further education and skills: No Level Assigned","All"
"achievements","Level","England","Further education and skills: Level 2","All"
"achievements","Level","England","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","England","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","England","Further education and skills: Level 3","All"
"achievements","Level","England","Further education and skills: Full Level 3","All"
"achievements","Level","England","Further education and skills: Level 4+","All"
"achievements","Level","England","Further education and skills: Full Level 2","All"
"achievements","Level","Gloucestershire LSIP","Further education and skills: Level 2","All"
"achievements","Level","Gloucestershire LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","Gloucestershire LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Gloucestershire LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Gloucestershire LSIP","Further education and skills: Level 3","All"
"achievements","Level","Gloucestershire LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","Gloucestershire LSIP","Further education and skills: Level 4+","All"
"achievements","Level","Gloucestershire LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","Greater Devon LSIP","Further education and skills: Level 2","All"
"achievements","Level","Greater Devon LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","Greater Devon LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Greater Devon LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Greater Devon LSIP","Further education and skills: Level 3","All"
"achievements","Level","Greater Devon LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","Greater Devon LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","Greater Devon LSIP","Further education and skills: Level 4+","All"
"achievements","Level","Greater Essex LSIP","Further education and skills: Level 2","All"
"achievements","Level","Greater Essex LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","Greater Essex LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Greater Essex LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Greater Essex LSIP","Further education and skills: Level 3","All"
"achievements","Level","Greater Essex LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","Greater Essex LSIP","Further education and skills: Level 4+","All"
"achievements","Level","Greater Essex LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","Greater Lincolnshire CA","Further education and skills: No Level Assigned","All"
"achievements","Level","Greater Lincolnshire CA","Further education and skills: Level 2","All"
"achievements","Level","Greater Lincolnshire CA","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Greater Lincolnshire CA","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Greater Lincolnshire CA","Further education and skills: Level 3","All"
"achievements","Level","Greater Lincolnshire CA","Further education and skills: Full Level 3","All"
"achievements","Level","Greater Lincolnshire CA","Further education and skills: Level 4+","All"
"achievements","Level","Greater Lincolnshire CA","Further education and skills: Full Level 2","All"
"achievements","Level","Greater Lincolnshire LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","Greater Lincolnshire LSIP","Further education and skills: Level 2","All"
"achievements","Level","Greater Lincolnshire LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Greater Lincolnshire LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Greater Lincolnshire LSIP","Further education and skills: Level 3","All"
"achievements","Level","Greater Lincolnshire LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","Greater Lincolnshire LSIP","Further education and skills: Level 4+","All"
"achievements","Level","Greater Lincolnshire LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","Greater London Authority CA","Further education and skills: No Level Assigned","All"
"achievements","Level","Greater London Authority CA","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Greater London Authority CA","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Greater London Authority CA","Further education and skills: Level 2","All"
"achievements","Level","Greater London Authority CA","Further education and skills: Level 3","All"
"achievements","Level","Greater London Authority CA","Further education and skills: Full Level 3","All"
"achievements","Level","Greater London Authority CA","Further education and skills: Level 4+","All"
"achievements","Level","Greater London Authority CA","Further education and skills: Full Level 2","All"
"achievements","Level","Greater Manchester CA","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Greater Manchester CA","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Greater Manchester CA","Further education and skills: No Level Assigned","All"
"achievements","Level","Greater Manchester CA","Further education and skills: Level 2","All"
"achievements","Level","Greater Manchester CA","Further education and skills: Level 3","All"
"achievements","Level","Greater Manchester CA","Further education and skills: Full Level 3","All"
"achievements","Level","Greater Manchester CA","Further education and skills: Level 4+","All"
"achievements","Level","Greater Manchester CA","Further education and skills: Full Level 2","All"
"achievements","Level","Greater Manchester LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Greater Manchester LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Greater Manchester LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","Greater Manchester LSIP","Further education and skills: Level 2","All"
"achievements","Level","Greater Manchester LSIP","Further education and skills: Level 3","All"
"achievements","Level","Greater Manchester LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","Greater Manchester LSIP","Further education and skills: Level 4+","All"
"achievements","Level","Greater Manchester LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","Hampshire and the Solent LSIP","Further education and skills: Level 2","All"
"achievements","Level","Hampshire and the Solent LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","Hampshire and the Solent LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Hampshire and the Solent LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Hampshire and the Solent LSIP","Further education and skills: Level 3","All"
"achievements","Level","Hampshire and the Solent LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","Hampshire and the Solent LSIP","Further education and skills: Level 4+","All"
"achievements","Level","Hampshire and the Solent LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","Hertfordshire LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","Hertfordshire LSIP","Further education and skills: Level 2","All"
"achievements","Level","Hertfordshire LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Hertfordshire LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Hertfordshire LSIP","Further education and skills: Level 3","All"
"achievements","Level","Hertfordshire LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","Hertfordshire LSIP","Further education and skills: Level 4+","All"
"achievements","Level","Hertfordshire LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","Hull and East Yorkshire CA","Further education and skills: Level 2","All"
"achievements","Level","Hull and East Yorkshire CA","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Hull and East Yorkshire CA","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Hull and East Yorkshire CA","Further education and skills: No Level Assigned","All"
"achievements","Level","Hull and East Yorkshire CA","Further education and skills: Level 3","All"
"achievements","Level","Hull and East Yorkshire CA","Further education and skills: Full Level 3","All"
"achievements","Level","Hull and East Yorkshire CA","Further education and skills: Full Level 2","All"
"achievements","Level","Hull and East Yorkshire CA","Further education and skills: Level 4+","All"
"achievements","Level","Hull and East Yorkshire LSIP","Further education and skills: Level 2","All"
"achievements","Level","Hull and East Yorkshire LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Hull and East Yorkshire LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Hull and East Yorkshire LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","Hull and East Yorkshire LSIP","Further education and skills: Level 3","All"
"achievements","Level","Hull and East Yorkshire LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","Hull and East Yorkshire LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","Hull and East Yorkshire LSIP","Further education and skills: Level 4+","All"
"achievements","Level","Kent and Medway LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","Kent and Medway LSIP","Further education and skills: Level 2","All"
"achievements","Level","Kent and Medway LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Kent and Medway LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Kent and Medway LSIP","Further education and skills: Level 3","All"
"achievements","Level","Kent and Medway LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","Kent and Medway LSIP","Further education and skills: Level 4+","All"
"achievements","Level","Kent and Medway LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","Lancashire CA","Further education and skills: No Level Assigned","All"
"achievements","Level","Lancashire CA","Further education and skills: Level 2","All"
"achievements","Level","Lancashire CA","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Lancashire CA","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Lancashire CA","Further education and skills: Level 3","All"
"achievements","Level","Lancashire CA","Further education and skills: Full Level 3","All"
"achievements","Level","Lancashire CA","Further education and skills: Level 4+","All"
"achievements","Level","Lancashire CA","Further education and skills: Full Level 2","All"
"achievements","Level","Lancashire LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","Lancashire LSIP","Further education and skills: Level 2","All"
"achievements","Level","Lancashire LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Lancashire LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Lancashire LSIP","Further education and skills: Level 3","All"
"achievements","Level","Lancashire LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","Lancashire LSIP","Further education and skills: Level 4+","All"
"achievements","Level","Lancashire LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","Leicester, Leicestershire and Rutland LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","Leicester, Leicestershire and Rutland LSIP","Further education and skills: Level 2","All"
"achievements","Level","Leicester, Leicestershire and Rutland LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Leicester, Leicestershire and Rutland LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Leicester, Leicestershire and Rutland LSIP","Further education and skills: Level 3","All"
"achievements","Level","Leicester, Leicestershire and Rutland LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","Leicester, Leicestershire and Rutland LSIP","Further education and skills: Level 4+","All"
"achievements","Level","Leicester, Leicestershire and Rutland LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","Liverpool City Region CA","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Liverpool City Region CA","Further education and skills: Level 2","All"
"achievements","Level","Liverpool City Region CA","Further education and skills: No Level Assigned","All"
"achievements","Level","Liverpool City Region CA","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Liverpool City Region CA","Further education and skills: Level 3","All"
"achievements","Level","Liverpool City Region CA","Further education and skills: Full Level 3","All"
"achievements","Level","Liverpool City Region CA","Further education and skills: Level 4+","All"
"achievements","Level","Liverpool City Region CA","Further education and skills: Full Level 2","All"
"achievements","Level","Liverpool City Region LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Liverpool City Region LSIP","Further education and skills: Level 2","All"
"achievements","Level","Liverpool City Region LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","Liverpool City Region LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Liverpool City Region LSIP","Further education and skills: Level 3","All"
"achievements","Level","Liverpool City Region LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","Liverpool City Region LSIP","Further education and skills: Level 4+","All"
"achievements","Level","Liverpool City Region LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","Local London LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Local London LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","Local London LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Local London LSIP","Further education and skills: Level 2","All"
"achievements","Level","Local London LSIP","Further education and skills: Level 3","All"
"achievements","Level","Local London LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","Local London LSIP","Further education and skills: Level 4+","All"
"achievements","Level","Local London LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","Norfolk and Suffolk LSIP","Further education and skills: Level 2","All"
"achievements","Level","Norfolk and Suffolk LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","Norfolk and Suffolk LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Norfolk and Suffolk LSIP","Further education and skills: Level 3","All"
"achievements","Level","Norfolk and Suffolk LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Norfolk and Suffolk LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","Norfolk and Suffolk LSIP","Further education and skills: Level 4+","All"
"achievements","Level","Norfolk and Suffolk LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","North East CA","Further education and skills: Level 2","All"
"achievements","Level","North East CA","Further education and skills: No Level Assigned","All"
"achievements","Level","North East CA","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","North East CA","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","North East CA","Further education and skills: Level 3","All"
"achievements","Level","North East CA","Further education and skills: Full Level 3","All"
"achievements","Level","North East CA","Further education and skills: Level 4+","All"
"achievements","Level","North East CA","Further education and skills: Full Level 2","All"
"achievements","Level","North East LSIP","Further education and skills: Level 2","All"
"achievements","Level","North East LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","North East LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","North East LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","North East LSIP","Further education and skills: Level 3","All"
"achievements","Level","North East LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","North East LSIP","Further education and skills: Level 4+","All"
"achievements","Level","North East LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","Oxfordshire LSIP","Further education and skills: Level 2","All"
"achievements","Level","Oxfordshire LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","Oxfordshire LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Oxfordshire LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Oxfordshire LSIP","Further education and skills: Level 3","All"
"achievements","Level","Oxfordshire LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","Oxfordshire LSIP","Further education and skills: Level 4+","All"
"achievements","Level","Oxfordshire LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","Somerset LSIP","Further education and skills: Level 2","All"
"achievements","Level","Somerset LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","Somerset LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Somerset LSIP","Further education and skills: Level 3","All"
"achievements","Level","Somerset LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Somerset LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","Somerset LSIP","Further education and skills: Level 4+","All"
"achievements","Level","Somerset LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","South London Partnership LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","South London Partnership LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","South London Partnership LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","South London Partnership LSIP","Further education and skills: Level 2","All"
"achievements","Level","South London Partnership LSIP","Further education and skills: Level 3","All"
"achievements","Level","South London Partnership LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","South London Partnership LSIP","Further education and skills: Level 4+","All"
"achievements","Level","South London Partnership LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","South Yorkshire CA","Further education and skills: No Level Assigned","All"
"achievements","Level","South Yorkshire CA","Further education and skills: Level 2","All"
"achievements","Level","South Yorkshire CA","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","South Yorkshire CA","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","South Yorkshire CA","Further education and skills: Level 3","All"
"achievements","Level","South Yorkshire CA","Further education and skills: Full Level 3","All"
"achievements","Level","South Yorkshire CA","Further education and skills: Level 4+","All"
"achievements","Level","South Yorkshire CA","Further education and skills: Full Level 2","All"
"achievements","Level","South Yorkshire LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","South Yorkshire LSIP","Further education and skills: Level 2","All"
"achievements","Level","South Yorkshire LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","South Yorkshire LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","South Yorkshire LSIP","Further education and skills: Level 3","All"
"achievements","Level","South Yorkshire LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","South Yorkshire LSIP","Further education and skills: Level 4+","All"
"achievements","Level","South Yorkshire LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","South-East Midlands LSIP","Further education and skills: Level 2","All"
"achievements","Level","South-East Midlands LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","South-East Midlands LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","South-East Midlands LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","South-East Midlands LSIP","Further education and skills: Level 3","All"
"achievements","Level","South-East Midlands LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","South-East Midlands LSIP","Further education and skills: Level 4+","All"
"achievements","Level","South-East Midlands LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","Stoke-on-Trent and Staffordshire LSIP","Further education and skills: Level 2","All"
"achievements","Level","Stoke-on-Trent and Staffordshire LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","Stoke-on-Trent and Staffordshire LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Stoke-on-Trent and Staffordshire LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Stoke-on-Trent and Staffordshire LSIP","Further education and skills: Level 3","All"
"achievements","Level","Stoke-on-Trent and Staffordshire LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","Stoke-on-Trent and Staffordshire LSIP","Further education and skills: Level 4+","All"
"achievements","Level","Stoke-on-Trent and Staffordshire LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","Surrey LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","Surrey LSIP","Further education and skills: Level 2","All"
"achievements","Level","Surrey LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Surrey LSIP","Further education and skills: Level 3","All"
"achievements","Level","Surrey LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Surrey LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","Surrey LSIP","Further education and skills: Level 4+","All"
"achievements","Level","Surrey LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","Sussex and Brighton LSIP","Further education and skills: Level 2","All"
"achievements","Level","Sussex and Brighton LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","Sussex and Brighton LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Sussex and Brighton LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Sussex and Brighton LSIP","Further education and skills: Level 3","All"
"achievements","Level","Sussex and Brighton LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","Sussex and Brighton LSIP","Further education and skills: Level 4+","All"
"achievements","Level","Sussex and Brighton LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","Swindon and Wiltshire LSIP","Further education and skills: Level 2","All"
"achievements","Level","Swindon and Wiltshire LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","Swindon and Wiltshire LSIP","Further education and skills: Level 3","All"
"achievements","Level","Swindon and Wiltshire LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Swindon and Wiltshire LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Swindon and Wiltshire LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","Swindon and Wiltshire LSIP","Further education and skills: Level 4+","All"
"achievements","Level","Swindon and Wiltshire LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","Tees Valley CA","Further education and skills: Level 2","All"
"achievements","Level","Tees Valley CA","Further education and skills: No Level Assigned","All"
"achievements","Level","Tees Valley CA","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Tees Valley CA","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Tees Valley CA","Further education and skills: Level 3","All"
"achievements","Level","Tees Valley CA","Further education and skills: Full Level 3","All"
"achievements","Level","Tees Valley CA","Further education and skills: Level 4+","All"
"achievements","Level","Tees Valley CA","Further education and skills: Full Level 2","All"
"achievements","Level","Tees Valley LSIP","Further education and skills: Level 2","All"
"achievements","Level","Tees Valley LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","Tees Valley LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Tees Valley LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Tees Valley LSIP","Further education and skills: Level 3","All"
"achievements","Level","Tees Valley LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","Tees Valley LSIP","Further education and skills: Level 4+","All"
"achievements","Level","Tees Valley LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","Thames Valley Berkshire LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","Thames Valley Berkshire LSIP","Further education and skills: Level 2","All"
"achievements","Level","Thames Valley Berkshire LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Thames Valley Berkshire LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Thames Valley Berkshire LSIP","Further education and skills: Level 3","All"
"achievements","Level","Thames Valley Berkshire LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","Thames Valley Berkshire LSIP","Further education and skills: Level 4+","All"
"achievements","Level","Thames Valley Berkshire LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","The Marches LSIP","Further education and skills: Level 2","All"
"achievements","Level","The Marches LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","The Marches LSIP","Further education and skills: Level 3","All"
"achievements","Level","The Marches LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","The Marches LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","The Marches LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","The Marches LSIP","Further education and skills: Level 4+","All"
"achievements","Level","The Marches LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","Warwickshire LSIP","Further education and skills: Level 2","All"
"achievements","Level","Warwickshire LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","Warwickshire LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","Warwickshire LSIP","Further education and skills: Level 3","All"
"achievements","Level","Warwickshire LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","Warwickshire LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","Warwickshire LSIP","Further education and skills: Level 4+","All"
"achievements","Level","Warwickshire LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","West London Alliance LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","West London Alliance LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","West London Alliance LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","West London Alliance LSIP","Further education and skills: Level 2","All"
"achievements","Level","West London Alliance LSIP","Further education and skills: Level 3","All"
"achievements","Level","West London Alliance LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","West London Alliance LSIP","Further education and skills: Level 4+","All"
"achievements","Level","West London Alliance LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","West Midlands CA","Further education and skills: No Level Assigned","All"
"achievements","Level","West Midlands CA","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","West Midlands CA","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","West Midlands CA","Further education and skills: Level 2","All"
"achievements","Level","West Midlands CA","Further education and skills: Level 3","All"
"achievements","Level","West Midlands CA","Further education and skills: Full Level 3","All"
"achievements","Level","West Midlands CA","Further education and skills: Level 4+","All"
"achievements","Level","West Midlands CA","Further education and skills: Full Level 2","All"
"achievements","Level","West Midlands LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","West Midlands LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","West Midlands LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","West Midlands LSIP","Further education and skills: Level 2","All"
"achievements","Level","West Midlands LSIP","Further education and skills: Level 3","All"
"achievements","Level","West Midlands LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","West Midlands LSIP","Further education and skills: Level 4+","All"
"achievements","Level","West Midlands LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","West Yorkshire CA","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","West Yorkshire CA","Further education and skills: Level 2","All"
"achievements","Level","West Yorkshire CA","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","West Yorkshire CA","Further education and skills: No Level Assigned","All"
"achievements","Level","West Yorkshire CA","Further education and skills: Level 3","All"
"achievements","Level","West Yorkshire CA","Further education and skills: Full Level 3","All"
"achievements","Level","West Yorkshire CA","Further education and skills: Level 4+","All"
"achievements","Level","West Yorkshire CA","Further education and skills: Full Level 2","All"
"achievements","Level","West Yorkshire LSIP","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","West Yorkshire LSIP","Further education and skills: Level 2","All"
"achievements","Level","West Yorkshire LSIP","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","West Yorkshire LSIP","Further education and skills: No Level Assigned","All"
"achievements","Level","West Yorkshire LSIP","Further education and skills: Level 3","All"
"achievements","Level","West Yorkshire LSIP","Further education and skills: Full Level 3","All"
"achievements","Level","West Yorkshire LSIP","Further education and skills: Level 4+","All"
"achievements","Level","West Yorkshire LSIP","Further education and skills: Full Level 2","All"
"achievements","Level","West of England CA","Further education and skills: No Level Assigned","All"
"achievements","Level","West of England CA","Further education and skills: Essential Skills - English and maths","All"
"achievements","Level","West of England CA","Further education and skills: Below Level 2 (excluding Essential Skills)","All"
"achievements","Level","West of England CA","Further education and skills: Level 2","All"
"achievements","Level","West of England CA","Further education and skills: Level 3","All"
