"geographic_level","area","Summary Profession Category","Detailed Profession Category","time_period","vacancies"
"LEP","Gloucestershire","Information and Communication Technology","IT Testers","Oct 22","150"
"LEP","Gloucestershire","Information and Communication Technology","Network Specialists","Oct 22","35"
"LEP","Gloucestershire","Information and Communication Technology","Programmers","Oct 22","510"
"LEP","Gloucestershire","Information and Communication Technology","Support Staff","Oct 22","230"
"LEP","Gloucestershire","Information and Communication Technology","System and Application Administrators","Oct 22","50"
"LEP","Gloucestershire","Information and Communication Technology","System Developers and Analysts","Oct 22","270"
"LEP","Gloucestershire","Information and Communication Technology","Web Professionals","Oct 22","100"
"LEP","Gloucestershire","Installation, Repair and Maintenance","Electrical Equipment Mechanics","Oct 22","90"
"LEP","Gloucestershire","Installation, Repair and Maintenance","Elevator, Escalator, and Door Mechanics","Oct 22","5"
"LEP","Gloucestershire","Installation, Repair and Maintenance","Gauge and Valve Mechanics","Oct 22","5"
"LEP","Gloucestershire","Installation, Repair and Maintenance","Industrial Machinery Mechanics","Oct 22","130"
"LEP","Gloucestershire","Installation, Repair and Maintenance","Installation, Repair and Maintenance (other)","Oct 22","65"
"LEP","Gloucestershire","Installation, Repair and Maintenance","Installation, Repair and Maintenance Inspectors","Oct 22","10"
"LEP","Gloucestershire","Installation, Repair and Maintenance","Installation, Repair, and Maintenance Heads/managers","Oct 22","75"
"LEP","Gloucestershire","Installation, Repair and Maintenance","Mechanics and Joiners (other)","Oct 22","25"
"LEP","Gloucestershire","Installation, Repair and Maintenance","Mobile Machinery Mechanics","Oct 22","5"
"LEP","Gloucestershire","Installation, Repair and Maintenance","Office Equipment Mechanics","Oct 22","[x]"
"LEP","Gloucestershire","Installation, Repair and Maintenance","Plane, Train and Ship Mechanics","Oct 22","10"
"LEP","Gloucestershire","Installation, Repair and Maintenance","Precision and Musical Instrument Technicians","Oct 22","[x]"
"LEP","Gloucestershire","Installation, Repair and Maintenance","Refrigeration, Heating, and White Goods Mechanics","Oct 22","75"
"LEP","Gloucestershire","Installation, Repair and Maintenance","Vehicle Mechanics","Oct 22","225"
"LEP","Gloucestershire","Insurance and Finance","Accountants","Oct 22","485"
"LEP","Gloucestershire","Insurance and Finance","Bank Branch Employees","Oct 22","10"
"LEP","Gloucestershire","Insurance and Finance","Economists","Oct 22","[x]"
"LEP","Gloucestershire","Insurance and Finance","Financial Directors","Oct 22","30"
"LEP","Gloucestershire","Insurance and Finance","Financial Experts","Oct 22","100"
"LEP","Gloucestershire","Insurance and Finance","Insurance & Finance Advisors","Oct 22","90"
"LEP","Gloucestershire","Insurance and Finance","Insurance & Finance Managers","Oct 22","280"
"LEP","Gloucestershire","Insurance and Finance","Insurance & Finance Personnel","Oct 22","45"
"LEP","Gloucestershire","Insurance and Finance","Insurance and Finance (other)","Oct 22","[x]"
"LEP","Gloucestershire","Insurance and Finance","Insurance Specialists","Oct 22","45"
"LEP","Gloucestershire","Legal, Human Resources and Social Services","Clergy and Pastoral Workers","Oct 22","5"
"LEP","Gloucestershire","Legal, Human Resources and Social Services","Court Support Staff","Oct 22","90"
"LEP","Gloucestershire","Legal, Human Resources and Social Services","Judges","Oct 22","[x]"
"LEP","Gloucestershire","Legal, Human Resources and Social Services","Labour Managers","Oct 22","150"
"LEP","Gloucestershire","Legal, Human Resources and Social Services","Lawyers","Oct 22","280"
"LEP","Gloucestershire","Legal, Human Resources and Social Services","Lawyers and Support Staff","Oct 22","[x]"
"LEP","Gloucestershire","Legal, Human Resources and Social Services","Legal, Human Resources and Social Services (other)","Oct 22","10"
"LEP","Gloucestershire","Legal, Human Resources and Social Services","Notaries and Support Staff","Oct 22","[x]"
"LEP","Gloucestershire","Legal, Human Resources and Social Services","Occupational Health Experts and Inspectors","Oct 22","40"
"LEP","Gloucestershire","Legal, Human Resources and Social Services","Personnel and Labour Experts","Oct 22","340"
"LEP","Gloucestershire","Legal, Human Resources and Social Services","Prosecutors","Oct 22","[x]"
"LEP","Gloucestershire","Legal, Human Resources and Social Services","Public Sector Work and Income Specialists","Oct 22","[x]"
"LEP","Gloucestershire","Legal, Human Resources and Social Services","Social Work Managers","Oct 22","5"
"LEP","Gloucestershire","Legal, Human Resources and Social Services","Social Workers","Oct 22","335"
"LEP","Gloucestershire","Leisure, Sports and Tourism","Casino Staff and Bookmakers","Oct 22","[x]"
"LEP","Gloucestershire","Leisure, Sports and Tourism","Entertainers","Oct 22","[x]"
"LEP","Gloucestershire","Leisure, Sports and Tourism","Information Desk Personnel","Oct 22","[x]"
"LEP","Gloucestershire","Leisure, Sports and Tourism","Leisure, Sports and Tourism (other)","Oct 22","[x]"
"LEP","Gloucestershire","Leisure, Sports and Tourism","Professional Athletes","Oct 22","[x]"
"LEP","Gloucestershire","Leisure, Sports and Tourism","Recreation and Tourism Managers and Directors","Oct 22","40"
"LEP","Gloucestershire","Leisure, Sports and Tourism","Recreation Employees","Oct 22","10"
"LEP","Gloucestershire","Leisure, Sports and Tourism","Sports Instructors","Oct 22","35"
"LEP","Gloucestershire","Leisure, Sports and Tourism","Sports Officials","Oct 22","[x]"
"LEP","Gloucestershire","Leisure, Sports and Tourism","Stewards and Hosts","Oct 22","5"
"LEP","Gloucestershire","Leisure, Sports and Tourism","Tour Leaders and Guides","Oct 22","[x]"
"LEP","Gloucestershire","Leisure, Sports and Tourism","Trainers and Coaches","Oct 22","25"
"LEP","Gloucestershire","Leisure, Sports and Tourism","Travel and Travel Agency Personnel","Oct 22","20"
"LEP","Gloucestershire","Management, Policy and Governance","General Directors","Oct 22","45"
"LEP","Gloucestershire","Management, Policy and Governance","General Managers","Oct 22","[x]"
"LEP","Gloucestershire","Management, Policy and Governance","Governance and Industry Policy Managers","Oct 22","20"
"LEP","Gloucestershire","Management, Policy and Governance","Government Administrators","Oct 22","[x]"
"LEP","Gloucestershire","Management, Policy and Governance","Government Inspectors","Oct 22","5"
"LEP","Gloucestershire","Management, Policy and Governance","Heads of Public Authorities","Oct 22","5"
"LEP","Gloucestershire","Management, Policy and Governance","Management Analysts and Consultants","Oct 22","225"
"LEP","Gloucestershire","Management, Policy and Governance","Management, Policy and Governance (other)","Oct 22","680"
"LEP","Gloucestershire","Management, Policy and Governance","Policy Advisers","Oct 22","10"
"LEP","Gloucestershire","Management, Policy and Governance","Political Legislators, Representatives","Oct 22","[x]"
"LEP","Gloucestershire","Management, Policy and Governance","Public Authorities Directors","Oct 22","[x]"
"LEP","Gloucestershire","Management, Policy and Governance","Secretaries (associations and government services)","Oct 22","[x]"
"LEP","Gloucestershire","Management, Policy and Governance","Union and Association Directors","Oct 22","5"
"LEP","Gloucestershire","Natural and Environmental Sciences","Biologists","Oct 22","5"
"LEP","Gloucestershire","Natural and Environmental Sciences","Chemists and Laboratory Technicians","Oct 22","15"
"LEP","Gloucestershire","Natural and Environmental Sciences","Environmentalists and Inspectors","Oct 22","20"
"LEP","Gloucestershire","Natural and Environmental Sciences","Geologists and Physical Geographers","Oct 22","[x]"
"LEP","Gloucestershire","Natural and Environmental Sciences","Heads of Natural and Environmental Sciences","Oct 22","5"
"LEP","Gloucestershire","Natural and Environmental Sciences","Mathematicians and Statisticians","Oct 22","[x]"
"LEP","Gloucestershire","Natural and Environmental Sciences","Natural and Environmental Sciences (other)","Oct 22","5"
"LEP","Gloucestershire","Natural and Environmental Sciences","Physicists","Oct 22","5"
"LEP","Gloucestershire","Other","Other Professions","Oct 22","1380"
"LEP","Gloucestershire","Personal Services","Animal Trainers, Caregivers, and Keepers","Oct 22","5"
"LEP","Gloucestershire","Personal Services","Beauticians","Oct 22","40"
"LEP","Gloucestershire","Personal Services","Funeral Personnel","Oct 22","10"
"LEP","Gloucestershire","Personal Services","Hairdressers","Oct 22","5"
"LEP","Gloucestershire","Personal Services","Personal Care Company Managers","Oct 22","10"
"LEP","Gloucestershire","Personal Services","Personal Services (other)","Oct 22","[x]"
"LEP","Gloucestershire","Personal Services","Stylists","Oct 22","[x]"
"LEP","Gloucestershire","Police, Fire Department and Security","Detectives and Security Experts","Oct 22","80"
"LEP","Gloucestershire","Police, Fire Department and Security","Firefighters","Oct 22","10"
"LEP","Gloucestershire","Police, Fire Department and Security","Heads of Police, Fire and Security","Oct 22","20"
"LEP","Gloucestershire","Police, Fire Department and Security","Police Inspectors","Oct 22","[x]"
"LEP","Gloucestershire","Police, Fire Department and Security","Police Investigators","Oct 22","[x]"
"LEP","Gloucestershire","Police, Fire Department and Security","Police, Fire Department and Security (other)","Oct 22","[x]"
"LEP","Gloucestershire","Police, Fire Department and Security","Policemen","Oct 22","20"
"LEP","Gloucestershire","Police, Fire Department and Security","Prison Guards","Oct 22","25"
"LEP","Gloucestershire","Police, Fire Department and Security","Safety and Security Personnel","Oct 22","175"
"LEP","Gloucestershire","Procurement and Warehouse Management","Buyers","Oct 22","115"
"LEP","Gloucestershire","Procurement and Warehouse Management","Goods Handling, Crane Operators and Drivers","Oct 22","85"
"LEP","Gloucestershire","Procurement and Warehouse Management","Heads of Procurement and Warehouse Management","Oct 22","115"
"LEP","Gloucestershire","Procurement and Warehouse Management","Loaders and Order Pickers","Oct 22","40"
"LEP","Gloucestershire","Procurement and Warehouse Management","Procurement and Warehouse Management (other)","Oct 22","[x]"
"LEP","Gloucestershire","Procurement and Warehouse Management","Warehouse Managers","Oct 22","65"
"LEP","Gloucestershire","Procurement and Warehouse Management","Warehouse Staff and Box Fillers","Oct 22","315"
"LEP","Gloucestershire","Production","Automation Assistants","Oct 22","5"
"LEP","Gloucestershire","Production","Butchers, Slaughterers and Bakers","Oct 22","20"
"LEP","Gloucestershire","Production","CNC Operators and Programmers","Oct 22","145"
"LEP","Gloucestershire","Production","Constructors, Builders, and Fitters","Oct 22","80"
"LEP","Gloucestershire","Production","Engravers, Hand Printers, and Precision Painters","Oct 22","[x]"
"LEP","Gloucestershire","Production","Food Processing Personnel","Oct 22","10"
"LEP","Gloucestershire","Production","Foundries, Casting Model Makers","Oct 22","10"
"LEP","Gloucestershire","Production","Glass and Stone Workers","Oct 22","[x]"
"LEP","Gloucestershire","Production","Graphics Finishers","Oct 22","[x]"
"LEP","Gloucestershire","Production","Jewellers and Gem Processors","Oct 22","[x]"
"LEP","Gloucestershire","Production","Machine Woodworkers","Oct 22","5"
"LEP","Gloucestershire","Production","Machined Metal Workers","Oct 22","20"
"LEP","Gloucestershire","Production","Machined Plastics Processors","Oct 22","[x]"
"LEP","Gloucestershire","Production","Painters and Sprayers","Oct 22","20"
"LEP","Gloucestershire","Production","Photography and Microchips Developers","Oct 22","5"
"LEP","Gloucestershire","Production","Printers","Oct 22","[x]"
"LEP","Gloucestershire","Production","Printing Preparation and Layout Personnel","Oct 22","10"
"LEP","Gloucestershire","Production","Process Operators","Oct 22","15"
"LEP","Gloucestershire","Production","Production (other)","Oct 22","5"
"LEP","Gloucestershire","Production","Production Managers","Oct 22","110"
"LEP","Gloucestershire","Production","Production Personnel","Oct 22","335"
"LEP","Gloucestershire","Production","Production Supervisors","Oct 22","65"
"LEP","Gloucestershire","Production","Quality Controllers and Sorters","Oct 22","60"
"LEP","Gloucestershire","Production","Textile Personnel","Oct 22","20"
"LEP","Gloucestershire","Production","Welders, Solderers, and Brazers","Oct 22","45"
"LEP","Gloucestershire","Production","Wood Workers","Oct 22","5"
"LEP","Gloucestershire","Sales and Trading","Advertisements and Publicity Promotors and Personnel","Oct 22","[x]"
"LEP","Gloucestershire","Sales and Trading","Articles and Products Representives","Oct 22","100"
"LEP","Gloucestershire","Sales and Trading","Auctioneers and Staff","Oct 22","[x]"
"LEP","Gloucestershire","Sales and Trading","Brokers","Oct 22","75"
"LEP","Gloucestershire","Sales and Trading","Business Services Account Managers","Oct 22","325"
"LEP","Gloucestershire","Sales and Trading","Commercial Personnel and Telemarketers","Oct 22","60"
"LEP","Gloucestershire","Sales and Trading","Front Desk and Rental Personnel","Oct 22","20"
"LEP","Gloucestershire","Sales and Trading","Market and Street Vendors","Oct 22","15"
"LEP","Gloucestershire","Sales and Trading","Retail Sales Leaders","Oct 22","180"
"LEP","Gloucestershire","Sales and Trading","Sales and Trading (other)","Oct 22","[x]"
"LEP","Gloucestershire","Sales and Trading","Sales Managers","Oct 22","375"
"LEP","Gloucestershire","Sales and Trading","Sellers","Oct 22","415"
"LEP","Gloucestershire","Sales and Trading","Traders","Oct 22","5"
"LEP","Gloucestershire","Transport and Traffic","Air Traffic Controllers, Traffic Controllers, and Harbourmasters","Oct 22","5"
"LEP","Gloucestershire","Transport and Traffic","Air, Water and Road Inspectors","Oct 22","5"
"LEP","Gloucestershire","Transport and Traffic","Carriage and Transport Managers","Oct 22","15"
"LEP","Gloucestershire","Transport and Traffic","Couriers and Delivery Personnel","Oct 22","25"
"LEP","Gloucestershire","Transport and Traffic","Freight Drivers","Oct 22","340"
"LEP","Gloucestershire","Transport and Traffic","Loading and Unloading Workers","Oct 22","10"
"LEP","Gloucestershire","Transport and Traffic","Pilots","Oct 22","5"
"LEP","Gloucestershire","Transport and Traffic","Public and Private Chauffeurs/drivers","Oct 22","50"
"LEP","Gloucestershire","Transport and Traffic","Sea Captains and Mates","Oct 22","5"
"LEP","Gloucestershire","Transport and Traffic","Service Leaders and Coordinators","Oct 22","[x]"
"LEP","Gloucestershire","Transport and Traffic","Train Drivers and Conductors","Oct 22","10"
"LEP","Gloucestershire","Transport and Traffic","Transport and Traffic (other)","Oct 22","[x]"
"LEP","Greater Birmingham and Solihull","Administration and Customer Service","Administration and Customer Service (other)","Oct 22","65"
"LEP","Greater Birmingham and Solihull","Administration and Customer Service","Administrative Personnel","Oct 22","645"
"LEP","Greater Birmingham and Solihull","Administration and Customer Service","Customer Service Personnel","Oct 22","740"
"LEP","Greater Birmingham and Solihull","Administration and Customer Service","Financial-administrative Personnel","Oct 22","630"
"LEP","Greater Birmingham and Solihull","Administration and Customer Service","Heads of Administration and Customer Services","Oct 22","815"
"LEP","Greater Birmingham and Solihull","Administration and Customer Service","Personnel and Salaries Administrators","Oct 22","255"
"LEP","Greater Birmingham and Solihull","Administration and Customer Service","Planners","Oct 22","585"
"LEP","Greater Birmingham and Solihull","Administration and Customer Service","Receptionists","Oct 22","355"
"LEP","Greater Birmingham and Solihull","Administration and Customer Service","Schedulers and Coordinators","Oct 22","15"
"LEP","Greater Birmingham and Solihull","Administration and Customer Service","Secretaries","Oct 22","335"
"LEP","Greater Birmingham and Solihull","Administration and Customer Service","Telephonists and Announcers","Oct 22","25"
"LEP","Greater Birmingham and Solihull","Administration and Customer Service","Typists","Oct 22","30"
"LEP","Greater Birmingham and Solihull","Agriculture, Livestock and Fishing","Agricultural and Livestock Specialists","Oct 22","5"
"LEP","Greater Birmingham and Solihull","Agriculture, Livestock and Fishing","Agricultural Employees","Oct 22","15"
"LEP","Greater Birmingham and Solihull","Agriculture, Livestock and Fishing","Agriculture and Fisheries Supervisors","Oct 22","30"
"LEP","Greater Birmingham and Solihull","Agriculture, Livestock and Fishing","Agriculture, Livestock and Fishing (other)","Oct 22","[x]"
"LEP","Greater Birmingham and Solihull","Agriculture, Livestock and Fishing","Cultivators","Oct 22","5"
"LEP","Greater Birmingham and Solihull","Agriculture, Livestock and Fishing","Farmers and Animal Breeders","Oct 22","10"
"LEP","Greater Birmingham and Solihull","Agriculture, Livestock and Fishing","Fishermen and Fish Farmers","Oct 22","[x]"
"LEP","Greater Birmingham and Solihull","Agriculture, Livestock and Fishing","Forest Workers and Managers","Oct 22","10"
"LEP","Greater Birmingham and Solihull","Agriculture, Livestock and Fishing","Gardeners","Oct 22","90"
"LEP","Greater Birmingham and Solihull","Agriculture, Livestock and Fishing","Inspectors and Regulators","Oct 22","10"
"LEP","Greater Birmingham and Solihull","Agriculture, Livestock and Fishing","Veterinarians","Oct 22","175"
"LEP","Greater Birmingham and Solihull","Arts, Culture and Media","Actors","Oct 22","[x]"
"LEP","Greater Birmingham and Solihull","Arts, Culture and Media","Art, Culture, and Media Managers","Oct 22","30"
"LEP","Greater Birmingham and Solihull","Arts, Culture and Media","Arts, Culture and Media (other)","Oct 22","35"
"LEP","Greater Birmingham and Solihull","Arts, Culture and Media","Audio/visual Editors","Oct 22","10"
"LEP","Greater Birmingham and Solihull","Arts, Culture and Media","Conductors, Composers, and Choreographers","Oct 22","10"
"LEP","Greater Birmingham and Solihull","Arts, Culture and Media","Directors and Producers","Oct 22","50"
"LEP","Greater Birmingham and Solihull","Arts, Culture and Media","Film, Theatre, Television, and Studio Technicians","Oct 22","30"
"LEP","Greater Birmingham and Solihull","Arts, Culture and Media","Illustrators and Designers (2D)","Oct 22","170"
"LEP","Greater Birmingham and Solihull","Arts, Culture and Media","Illustrators and Designers (3D)","Oct 22","125"
"LEP","Greater Birmingham and Solihull","Arts, Culture and Media","Journalists and Editors","Oct 22","65"
"LEP","Greater Birmingham and Solihull","Arts, Culture and Media","Librarians and Documentalists","Oct 22","40"
"LEP","Greater Birmingham and Solihull","Arts, Culture and Media","Museum Personnel","Oct 22","5"
"LEP","Greater Birmingham and Solihull","Arts, Culture and Media","Musicians, Singers and Dancers","Oct 22","15"
"LEP","Greater Birmingham and Solihull","Arts, Culture and Media","Photographers and Cameramen","Oct 22","15"
"LEP","Greater Birmingham and Solihull","Arts, Culture and Media","Presenters","Oct 22","10"
"LEP","Greater Birmingham and Solihull","Arts, Culture and Media","Restorers","Oct 22","5"
"LEP","Greater Birmingham and Solihull","Arts, Culture and Media","Translators and Interpreters","Oct 22","40"
"LEP","Greater Birmingham and Solihull","Arts, Culture and Media","Writers and Poets","Oct 22","20"
"LEP","Greater Birmingham and Solihull","Cleaning and Maintenance","Buildings and Premises Cleaners","Oct 22","90"
"LEP","Greater Birmingham and Solihull","Cleaning and Maintenance","Caretakers and Administrators","Oct 22","450"
"LEP","Greater Birmingham and Solihull","Cleaning and Maintenance","Cleaning and Maintenance (other)","Oct 22","5"
"LEP","Greater Birmingham and Solihull","Cleaning and Maintenance","Cleaning and Maintenance Managers","Oct 22","185"
"LEP","Greater Birmingham and Solihull","Cleaning and Maintenance","Interior Cleaners","Oct 22","695"
"LEP","Greater Birmingham and Solihull","Cleaning and Maintenance","Municipal Cleaning Staff","Oct 22","25"
"LEP","Greater Birmingham and Solihull","Cleaning and Maintenance","Vehicle and Equipment Cleaners","Oct 22","45"
"LEP","Greater Birmingham and Solihull","Communication, Marketing and Public Relations","Business Managers and Agents","Oct 22","10"
"LEP","Greater Birmingham and Solihull","Communication, Marketing and Public Relations","Communication, Marketing and Public Relations (other)","Oct 22","5"
"LEP","Greater Birmingham and Solihull","Communication, Marketing and Public Relations","Communication, Marketing and Public Relations Managers","Oct 22","910"
"LEP","Greater Birmingham and Solihull","Communication, Marketing and Public Relations","Fundraisers","Oct 22","80"
"LEP","Greater Birmingham and Solihull","Communication, Marketing and Public Relations","Information and Public Relations Personnel","Oct 22","85"
"LEP","Greater Birmingham and Solihull","Communication, Marketing and Public Relations","Marketing and Advertising Personnel","Oct 22","525"
"LEP","Greater Birmingham and Solihull","Communication, Marketing and Public Relations","Publishers","Oct 22","[x]"
"LEP","Greater Birmingham and Solihull","Communication, Marketing and Public Relations","Sales Promotion Personnel","Oct 22","15"
"LEP","Greater Birmingham and Solihull","Construction and Mining","Borers and Drilling Supervisors","Oct 22","30"
"LEP","Greater Birmingham and Solihull","Construction and Mining","Bricklayers and Stonemasons","Oct 22","30"
"LEP","Greater Birmingham and Solihull","Construction and Mining","Civil Engineering Contractors and Project Leaders","Oct 22","90"
"LEP","Greater Birmingham and Solihull","Construction and Mining","Concrete Construction Workers and Roofers","Oct 22","45"
"LEP","Greater Birmingham and Solihull","Construction and Mining","Construction and Civil Engineering Machinists","Oct 22","70"
"LEP","Greater Birmingham and Solihull","Construction and Mining","Construction and Mining (other)","Oct 22","15"
"LEP","Greater Birmingham and Solihull","Construction and Mining","Construction and Mining Managers","Oct 22","25"
"LEP","Greater Birmingham and Solihull","Construction and Mining","Construction Contractors","Oct 22","340"
"LEP","Greater Birmingham and Solihull","Construction and Mining","Construction Finishers","Oct 22","515"
"LEP","Greater Birmingham and Solihull","Construction and Mining","Construction Plumbers and Fitters","Oct 22","415"
"LEP","Greater Birmingham and Solihull","Construction and Mining","Construction Project Leaders","Oct 22","430"
"LEP","Greater Birmingham and Solihull","Construction and Mining","Ground and Road Workers","Oct 22","130"
"LEP","Greater Birmingham and Solihull","Defence","Army Soldiers, Corporals and Petty Officers","Oct 22","15"
"LEP","Greater Birmingham and Solihull","Defence","Defence (other)","Oct 22","65"
"LEP","Greater Birmingham and Solihull","Education and Training","Art and Media Higher Education Teachers","Oct 22","55"
"LEP","Greater Birmingham and Solihull","Education and Training","Chemical and Technical Higher Education Teachers","Oct 22","10"
"LEP","Greater Birmingham and Solihull","Education and Training","Computing and Science Lecturers","Oct 22","35"
"LEP","Greater Birmingham and Solihull","Education and Training","Course Leaders and Instructors","Oct 22","125"
"LEP","Greater Birmingham and Solihull","Education and Training","Deans and Coordinators","Oct 22","130"
"LEP","Greater Birmingham and Solihull","Education and Training","Education and Training (other)","Oct 22","290"
"LEP","Greater Birmingham and Solihull","Education and Training","Educational Directors, Deputy Heads, and Headmasters","Oct 22","100"
"LEP","Greater Birmingham and Solihull","Education and Training","Educational Support Staff","Oct 22","845"
"LEP","Greater Birmingham and Solihull","Education and Training","Exact Sciences Higher Education Teachers","Oct 22","[x]"
"LEP","Greater Birmingham and Solihull","Education and Training","Humanities Lecturers","Oct 22","15"
"LEP","Greater Birmingham and Solihull","Education and Training","Language and Cultural Higher Education Teacher","Oct 22","5"
"LEP","Greater Birmingham and Solihull","Education and Training","Law, Economics and Social Sciences Lecturers","Oct 22","55"
"LEP","Greater Birmingham and Solihull","Education and Training","Medical Sciences Lecturers","Oct 22","40"
"LEP","Greater Birmingham and Solihull","Education and Training","Primary School Teachers","Oct 22","660"
"LEP","Greater Birmingham and Solihull","Education and Training","Scientists","Oct 22","140"
"LEP","Greater Birmingham and Solihull","Education and Training","Secondary School Teachers","Oct 22","630"
"LEP","Greater Birmingham and Solihull","Education and Training","Social and Health Higher Education Teachers","Oct 22","80"
"LEP","Greater Birmingham and Solihull","Education and Training","Teacher Training Educators","Oct 22","5"
"LEP","Greater Birmingham and Solihull","Education and Training","Technical and Vocational Secondary Education Teachers","Oct 22","100"
"LEP","Greater Birmingham and Solihull","Education and Training","Technical Sciences Lecturers","Oct 22","30"
"LEP","Greater Birmingham and Solihull","Education and Training","University Lecturers (other)","Oct 22","45"
"LEP","Greater Birmingham and Solihull","Education and Training","Vocational Higher Education Teachers","Oct 22","45"
"LEP","Greater Birmingham and Solihull","Education and Training","Vocational Secondary School Teachers","Oct 22","30"
"LEP","Greater Birmingham and Solihull","Engineering","Business Administration and Engineering Experts","Oct 22","485"
"LEP","Greater Birmingham and Solihull","Engineering","Chemical Engineers, Designers, and Technicians","Oct 22","165"
"LEP","Greater Birmingham and Solihull","Engineering","Civil Engineering Draughtsmen and Designers","Oct 22","25"
"LEP","Greater Birmingham and Solihull","Engineering","Civil Engineering Engineers, Designers, and Technicians","Oct 22","535"
"LEP","Greater Birmingham and Solihull","Engineering","Construction Draughtsman and Designers","Oct 22","55"
"LEP","Greater Birmingham and Solihull","Engineering","Construction Engineers, Designers, and Technicians","Oct 22","250"
"LEP","Greater Birmingham and Solihull","Engineering","Electrical Draughtsmen and Engineers","Oct 22","5"
"LEP","Greater Birmingham and Solihull","Engineering","Electrical Engineers, Designers, and Technicians","Oct 22","1030"
"LEP","Greater Birmingham and Solihull","Engineering","Engineering (other)","Oct 22","325"
"LEP","Greater Birmingham and Solihull","Engineering","Engineering Calculators and Planners","Oct 22","525"
"LEP","Greater Birmingham and Solihull","Engineering","Engineering Managers","Oct 22","495"
"LEP","Greater Birmingham and Solihull","Engineering","Material and Process Technologists","Oct 22","50"
"LEP","Greater Birmingham and Solihull","Engineering","Mechanical Engineering Draughtsmen and Designers","Oct 22","45"
"LEP","Greater Birmingham and Solihull","Engineering","Mechanical Engineering Engineers, Designers, and Technicians","Oct 22","555"
"LEP","Greater Birmingham and Solihull","Engineering","Surveyors and Cartographers","Oct 22","130"
"LEP","Greater Birmingham and Solihull","Healthcare","Alternative Healers","Oct 22","[x]"
"LEP","Greater Birmingham and Solihull","Healthcare","Care and Welfare Directors","Oct 22","165"
"LEP","Greater Birmingham and Solihull","Healthcare","Care Assistants","Oct 22","1435"
"LEP","Greater Birmingham and Solihull","Healthcare","Care Managers","Oct 22","325"
"LEP","Greater Birmingham and Solihull","Healthcare","Carers","Oct 22","325"
"LEP","Greater Birmingham and Solihull","Healthcare","Childcare Employees","Oct 22","340"
"LEP","Greater Birmingham and Solihull","Healthcare","Dentists and Dental Specialists","Oct 22","100"
"LEP","Greater Birmingham and Solihull","Healthcare","Head Nurses and Coordinators","Oct 22","290"
"LEP","Greater Birmingham and Solihull","Healthcare","Healthcare (other)","Oct 22","50"
"LEP","Greater Birmingham and Solihull","Healthcare","Laboratory Technicians","Oct 22","80"
"LEP","Greater Birmingham and Solihull","Healthcare","Medical Assistants","Oct 22","235"
"LEP","Greater Birmingham and Solihull","Healthcare","Nursing","Oct 22","1120"
"LEP","Greater Birmingham and Solihull","Healthcare","Nutritionists and Therapists","Oct 22","340"
"LEP","Greater Birmingham and Solihull","Healthcare","Pharmacists and Pharmacologists","Oct 22","120"
"LEP","Greater Birmingham and Solihull","Healthcare","Physicians","Oct 22","245"
"LEP","Greater Birmingham and Solihull","Healthcare","Psychologists and Educational Consultants","Oct 22","150"
"LEP","Greater Birmingham and Solihull","Healthcare","Researchers and Analysts","Oct 22","230"
"LEP","Greater Birmingham and Solihull","Healthcare","Specialised Nurses","Oct 22","570"
"LEP","Greater Birmingham and Solihull","Healthcare","Specialists and Surgeons","Oct 22","230"
"LEP","Greater Birmingham and Solihull","Healthcare","Technicians and Medical Device Makers","Oct 22","170"
"LEP","Greater Birmingham and Solihull","Hospitality","Chefs and Other Food Preparers","Oct 22","710"
"LEP","Greater Birmingham and Solihull","Hospitality","Hospitality (other)","Oct 22","20"
"LEP","Greater Birmingham and Solihull","Hospitality","Hospitality and Catering Managers","Oct 22","380"
"LEP","Greater Birmingham and Solihull","Hospitality","Hospitality and Catering Senior Personnel","Oct 22","95"
"LEP","Greater Birmingham and Solihull","Hospitality","Hospitality and Service Personnel","Oct 22","720"
"LEP","Greater Birmingham and Solihull","Hospitality","Hospitality Personnel (other)","Oct 22","45"
"LEP","Greater Birmingham and Solihull","Hospitality","Kitchen Assistants","Oct 22","255"
"LEP","Greater Birmingham and Solihull","Information and Communication Technology","Consultants and Specialists","Oct 22","835"
"LEP","Greater Birmingham and Solihull","Information and Communication Technology","Database Specialists","Oct 22","395"
"LEP","Greater Birmingham and Solihull","Information and Communication Technology","Information and Communication Technology (other)","Oct 22","245"
"LEP","Greater Birmingham and Solihull","Information and Communication Technology","IT Coordinators","Oct 22","325"
"LEP","Greater Birmingham and Solihull","Information and Communication Technology","IT Managers","Oct 22","470"
"LEP","Greater Birmingham and Solihull","Information and Communication Technology","IT R&D Professionals","Oct 22","75"
"LEP","Greater Birmingham and Solihull","Information and Communication Technology","IT Testers","Oct 22","155"
"LEP","Greater Birmingham and Solihull","Information and Communication Technology","Network Specialists","Oct 22","105"
"LEP","Greater Birmingham and Solihull","Information and Communication Technology","Programmers","Oct 22","1670"
"LEP","Greater Birmingham and Solihull","Information and Communication Technology","Support Staff","Oct 22","655"
"LEP","Greater Birmingham and Solihull","Information and Communication Technology","System and Application Administrators","Oct 22","130"
"LEP","Greater Birmingham and Solihull","Information and Communication Technology","System Developers and Analysts","Oct 22","775"
"LEP","Greater Birmingham and Solihull","Information and Communication Technology","Web Professionals","Oct 22","310"
"LEP","Greater Birmingham and Solihull","Installation, Repair and Maintenance","Electrical Equipment Mechanics","Oct 22","130"
