"geogConcat","metric","breakdown","subgroup","value","valueText"
"Greater Lincolnshire LSIP","inemployment","Occupation","Other managers and proprietors",1,"16900"
"Greater Lincolnshire LSIP","inemployment","Occupation","Science research engineering and technology professionals",1,"21100"
"Greater Lincolnshire LSIP","inemployment","Occupation","Health professionals",1,"16400"
"Greater Lincolnshire LSIP","inemployment","Occupation","Teaching and educational professionals",1,"24700"
"Greater Lincolnshire LSIP","inemployment","Occupation","Business media and public service professionals",1,"18900"
"Greater Lincolnshire LSIP","inemployment","Occupation","Health and social care associate professionals",1,"4500"
"Greater Lincolnshire LSIP","inemployment","Occupation","Protective service occupations",1,"6200"
"Greater Lincolnshire LSIP","inemployment","Occupation","Business and public service associate professionals",1,"33500"
"Greater Lincolnshire LSIP","inemployment","Occupation","Administrative occupations",1,"33000"
"Greater London Authority MCA","inemployment","Occupation","Corporate managers and directors",1,"458900"
"Greater London Authority MCA","inemployment","Occupation","Other managers and proprietors",1,"140000"
"Greater London Authority MCA","inemployment","Occupation","Science research engineering and technology professionals",1,"473300"
"Greater London Authority MCA","inemployment","Occupation","Health professionals",1,"210700"
"Greater London Authority MCA","inemployment","Occupation","Teaching and educational professionals",1,"246600"
"Greater London Authority MCA","inemployment","Occupation","Business media and public service professionals",1,"521500"
"Greater London Authority MCA","inemployment","Occupation","Science engineering and technology associate professionals",1,"61800"
"Greater London Authority MCA","inemployment","Occupation","Health and social care associate professionals",1,"76600"
"Greater London Authority MCA","inemployment","Occupation","Protective service occupations",1,"26800"
"Greater London Authority MCA","inemployment","Occupation","Culture media and sports occupations",1,"211100"
"Greater London LSIP","inemployment","Occupation","Corporate managers and directors",1,"458900"
"Greater London LSIP","inemployment","Occupation","Other managers and proprietors",1,"140000"
"Greater London LSIP","inemployment","Occupation","Science research engineering and technology professionals",1,"473300"
"Greater London LSIP","inemployment","Occupation","Health professionals",1,"210700"
"Greater London LSIP","inemployment","Occupation","Teaching and educational professionals",1,"246600"
"Greater London LSIP","inemployment","Occupation","Business media and public service professionals",1,"521500"
"Greater London LSIP","inemployment","Occupation","Science engineering and technology associate professionals",1,"61800"
"Greater London LSIP","inemployment","Occupation","Health and social care associate professionals",1,"76600"
"Greater London LSIP","inemployment","Occupation","Protective service occupations",1,"26800"
"Greater London LSIP","inemployment","Occupation","Culture media and sports occupations",1,"211100"
"Greater Manchester LEP","inemployment","Occupation","Corporate managers and directors",1,"79400"
"Greater Manchester LEP","inemployment","Occupation","Other managers and proprietors",1,"38900"
"Greater Manchester LEP","inemployment","Occupation","Science research engineering and technology professionals",1,"101900"
"Greater Manchester LEP","inemployment","Occupation","Health professionals",1,"61000"
"Greater Manchester LEP","inemployment","Occupation","Teaching and educational professionals",1,"68400"
"Greater Manchester LEP","inemployment","Occupation","Business media and public service professionals",1,"75900"
"Greater Manchester LEP","inemployment","Occupation","Science engineering and technology associate professionals",1,"28700"
"Greater Manchester LEP","inemployment","Occupation","Health and social care associate professionals",1,"29100"
"Greater Manchester LEP","inemployment","Occupation","Protective service occupations",1,"11500"
"Greater Manchester LEP","inemployment","Occupation","Culture media and sports occupations",1,"29200"
"Greater Manchester LSIP","inemployment","Occupation","Corporate managers and directors",1,"79400"
"Greater Manchester LSIP","inemployment","Occupation","Other managers and proprietors",1,"38900"
"Greater Manchester LSIP","inemployment","Occupation","Science research engineering and technology professionals",1,"101900"
"Greater Manchester LSIP","inemployment","Occupation","Health professionals",1,"61000"
"Greater Manchester LSIP","inemployment","Occupation","Teaching and educational professionals",1,"68400"
"Greater Manchester LSIP","inemployment","Occupation","Business media and public service professionals",1,"75900"
"Greater Manchester LSIP","inemployment","Occupation","Science engineering and technology associate professionals",1,"28700"
"Greater Manchester LSIP","inemployment","Occupation","Health and social care associate professionals",1,"29100"
"Greater Manchester LSIP","inemployment","Occupation","Protective service occupations",1,"11500"
"Greater Manchester LSIP","inemployment","Occupation","Culture media and sports occupations",1,"29200"
"Greater Manchester MCA","inemployment","Occupation","Corporate managers and directors",1,"79400"
"Greater Manchester MCA","inemployment","Occupation","Other managers and proprietors",1,"38900"
"Greater Manchester MCA","inemployment","Occupation","Science research engineering and technology professionals",1,"101900"
"Greater Manchester MCA","inemployment","Occupation","Health professionals",1,"61000"
"Greater Manchester MCA","inemployment","Occupation","Teaching and educational professionals",1,"68400"
"Greater Manchester MCA","inemployment","Occupation","Business media and public service professionals",1,"75900"
"Greater Manchester MCA","inemployment","Occupation","Science engineering and technology associate professionals",1,"28700"
"Greater Manchester MCA","inemployment","Occupation","Health and social care associate professionals",1,"29100"
"Greater Manchester MCA","inemployment","Occupation","Protective service occupations",1,"11500"
"Greater Manchester MCA","inemployment","Occupation","Culture media and sports occupations",1,"29200"
"Heart of the South-West LSIP","inemployment","Occupation","Corporate managers and directors",1,"53900"
"Heart of the South-West LSIP","inemployment","Occupation","Other managers and proprietors",1,"31400"
"Heart of the South-West LSIP","inemployment","Occupation","Science research engineering and technology professionals",1,"47800"
"Heart of the South-West LSIP","inemployment","Occupation","Health professionals",1,"41200"
"Heart of the South-West LSIP","inemployment","Occupation","Teaching and educational professionals",1,"37100"
"Heart of the South-West LSIP","inemployment","Occupation","Business media and public service professionals",1,"38600"
"Heart of the South-West LSIP","inemployment","Occupation","Science engineering and technology associate professionals",1,"11700"
"Heart of the South-West LSIP","inemployment","Occupation","Health and social care associate professionals",1,"10900"
"Heart of the South-West LSIP","inemployment","Occupation","Protective service occupations",1,"10300"
"Heart of the South-West LSIP","inemployment","Occupation","Culture media and sports occupations",1,"17400"
"Heart of the South West LEP","inemployment","Occupation","Corporate managers and directors",1,"53900"
"Heart of the South West LEP","inemployment","Occupation","Other managers and proprietors",1,"31400"
"Heart of the South West LEP","inemployment","Occupation","Science research engineering and technology professionals",1,"47800"
"Heart of the South West LEP","inemployment","Occupation","Health professionals",1,"41200"
"Heart of the South West LEP","inemployment","Occupation","Teaching and educational professionals",1,"37100"
"Heart of the South West LEP","inemployment","Occupation","Business media and public service professionals",1,"38600"
"Heart of the South West LEP","inemployment","Occupation","Science engineering and technology associate professionals",1,"11700"
"Heart of the South West LEP","inemployment","Occupation","Health and social care associate professionals",1,"10900"
"Heart of the South West LEP","inemployment","Occupation","Protective service occupations",1,"10300"
"Heart of the South West LEP","inemployment","Occupation","Culture media and sports occupations",1,"17400"
"Hertfordshire LEP","inemployment","Occupation","Corporate managers and directors",1,"55300"
"Hertfordshire LEP","inemployment","Occupation","Other managers and proprietors",1,"20100"
"Hertfordshire LEP","inemployment","Occupation","Science research engineering and technology professionals",1,"51000"
"Hertfordshire LEP","inemployment","Occupation","Health professionals",1,"32000"
"Hertfordshire LEP","inemployment","Occupation","Teaching and educational professionals",1,"26700"
"Hertfordshire LEP","inemployment","Occupation","Business media and public service professionals",1,"57200"
"Hertfordshire LEP","inemployment","Occupation","Science engineering and technology associate professionals",1,"10700"
"Hertfordshire LEP","inemployment","Occupation","Health and social care associate professionals",1,"8500"
"Hertfordshire LEP","inemployment","Occupation","Protective service occupations",1,"2000"
"Hertfordshire LEP","inemployment","Occupation","Culture media and sports occupations",1,"16400"
"Hertfordshire LSIP","inemployment","Occupation","Corporate managers and directors",1,"55300"
"Hertfordshire LSIP","inemployment","Occupation","Other managers and proprietors",1,"20100"
"Hertfordshire LSIP","inemployment","Occupation","Science research engineering and technology professionals",1,"51000"
"Hertfordshire LSIP","inemployment","Occupation","Health professionals",1,"32000"
"Hertfordshire LSIP","inemployment","Occupation","Teaching and educational professionals",1,"26700"
"Hertfordshire LSIP","inemployment","Occupation","Business media and public service professionals",1,"57200"
"Hertfordshire LSIP","inemployment","Occupation","Science engineering and technology associate professionals",1,"10700"
"Hertfordshire LSIP","inemployment","Occupation","Health and social care associate professionals",1,"8500"
"Hertfordshire LSIP","inemployment","Occupation","Protective service occupations",1,"2000"
"Hertfordshire LSIP","inemployment","Occupation","Culture media and sports occupations",1,"16400"
"Hull and East Yorkshire LEP","inemployment","Occupation","Corporate managers and directors",1,"20200"
"Hull and East Yorkshire LEP","inemployment","Occupation","Other managers and proprietors",1,"7600"
"Hull and East Yorkshire LEP","inemployment","Occupation","Health professionals",1,"8600"
"Hull and East Yorkshire LEP","inemployment","Occupation","Teaching and educational professionals",1,"11300"
"Hull and East Yorkshire LEP","inemployment","Occupation","Business media and public service professionals",1,"13400"
"Hull and East Yorkshire LEP","inemployment","Occupation","Science engineering and technology associate professionals",1,"5200"
"Hull and East Yorkshire LEP","inemployment","Occupation","Health and social care associate professionals",1,"7400"
"Hull and East Yorkshire LEP","inemployment","Occupation","Culture media and sports occupations",1,"3700"
"Hull and East Yorkshire LEP","inemployment","Occupation","Business and public service associate professionals",1,"17200"
"Hull and East Yorkshire LEP","inemployment","Occupation","Administrative occupations",1,"22400"
"Hull and East Yorkshire LSIP","inemployment","Occupation","Corporate managers and directors",1,"20200"
"Hull and East Yorkshire LSIP","inemployment","Occupation","Other managers and proprietors",1,"7600"
"Hull and East Yorkshire LSIP","inemployment","Occupation","Health professionals",1,"8600"
"Hull and East Yorkshire LSIP","inemployment","Occupation","Teaching and educational professionals",1,"11300"
"Hull and East Yorkshire LSIP","inemployment","Occupation","Business media and public service professionals",1,"13400"
"Hull and East Yorkshire LSIP","inemployment","Occupation","Science engineering and technology associate professionals",1,"5200"
"Hull and East Yorkshire LSIP","inemployment","Occupation","Health and social care associate professionals",1,"7400"
"Hull and East Yorkshire LSIP","inemployment","Occupation","Culture media and sports occupations",1,"3700"
"Hull and East Yorkshire LSIP","inemployment","Occupation","Business and public service associate professionals",1,"17200"
"Hull and East Yorkshire LSIP","inemployment","Occupation","Administrative occupations",1,"22400"
"Kent and Medway LSIP","inemployment","Occupation","Corporate managers and directors",1,"66800"
"Kent and Medway LSIP","inemployment","Occupation","Other managers and proprietors",1,"23900"
"Kent and Medway LSIP","inemployment","Occupation","Science research engineering and technology professionals",1,"47800"
"Kent and Medway LSIP","inemployment","Occupation","Health professionals",1,"32100"
"Kent and Medway LSIP","inemployment","Occupation","Teaching and educational professionals",1,"50900"
"Kent and Medway LSIP","inemployment","Occupation","Business media and public service professionals",1,"57000"
"Kent and Medway LSIP","inemployment","Occupation","Science engineering and technology associate professionals",1,"8400"
"Kent and Medway LSIP","inemployment","Occupation","Health and social care associate professionals",1,"18700"
"Kent and Medway LSIP","inemployment","Occupation","Protective service occupations",1,"15800"
"Kent and Medway LSIP","inemployment","Occupation","Culture media and sports occupations",1,"21100"
"Lancashire LEP","inemployment","Occupation","Corporate managers and directors",1,"44200"
"Lancashire LEP","inemployment","Occupation","Other managers and proprietors",1,"16000"
"Lancashire LEP","inemployment","Occupation","Science research engineering and technology professionals",1,"33700"
"Lancashire LEP","inemployment","Occupation","Health professionals",1,"30200"
"Lancashire LEP","inemployment","Occupation","Teaching and educational professionals",1,"32100"
"Lancashire LEP","inemployment","Occupation","Business media and public service professionals",1,"34300"
"Lancashire LEP","inemployment","Occupation","Science engineering and technology associate professionals",1,"13900"
"Lancashire LEP","inemployment","Occupation","Health and social care associate professionals",1,"14400"
"Lancashire LEP","inemployment","Occupation","Protective service occupations",1,"6300"
"Lancashire LEP","inemployment","Occupation","Culture media and sports occupations",1,"12100"
"Lancashire LSIP","inemployment","Occupation","Corporate managers and directors",1,"44200"
"Lancashire LSIP","inemployment","Occupation","Other managers and proprietors",1,"16000"
"Lancashire LSIP","inemployment","Occupation","Science research engineering and technology professionals",1,"33700"
"Lancashire LSIP","inemployment","Occupation","Health professionals",1,"30200"
"Lancashire LSIP","inemployment","Occupation","Teaching and educational professionals",1,"32100"
"Lancashire LSIP","inemployment","Occupation","Business media and public service professionals",1,"34300"
"Lancashire LSIP","inemployment","Occupation","Science engineering and technology associate professionals",1,"13900"
"Lancashire LSIP","inemployment","Occupation","Health and social care associate professionals",1,"14400"
"Lancashire LSIP","inemployment","Occupation","Protective service occupations",1,"6300"
"Lancashire LSIP","inemployment","Occupation","Culture media and sports occupations",1,"12100"
"Leeds City Region LEP","inemployment","Occupation","Corporate managers and directors",1,"76000"
"Leeds City Region LEP","inemployment","Occupation","Other managers and proprietors",1,"26000"
"Leeds City Region LEP","inemployment","Occupation","Science research engineering and technology professionals",1,"75100"
"Leeds City Region LEP","inemployment","Occupation","Health professionals",1,"52300"
"Leeds City Region LEP","inemployment","Occupation","Teaching and educational professionals",1,"55800"
"Leeds City Region LEP","inemployment","Occupation","Business media and public service professionals",1,"75800"
"Leeds City Region LEP","inemployment","Occupation","Science engineering and technology associate professionals",1,"20900"
"Leeds City Region LEP","inemployment","Occupation","Health and social care associate professionals",1,"24000"
"Leeds City Region LEP","inemployment","Occupation","Protective service occupations",1,"8000"
"Leeds City Region LEP","inemployment","Occupation","Culture media and sports occupations",1,"16800"
"Leicester and Leicestershire LEP","inemployment","Occupation","Corporate managers and directors",1,"40400"
"Leicester and Leicestershire LEP","inemployment","Occupation","Other managers and proprietors",1,"14200"
"Leicester and Leicestershire LEP","inemployment","Occupation","Health professionals",1,"15600"
"Leicester and Leicestershire LEP","inemployment","Occupation","Teaching and educational professionals",1,"26400"
"Leicester and Leicestershire LEP","inemployment","Occupation","Business media and public service professionals",1,"23500"
"Leicester and Leicestershire LEP","inemployment","Occupation","Science engineering and technology associate professionals",1,"13200"
"Leicester and Leicestershire LEP","inemployment","Occupation","Health and social care associate professionals",1,"9000"
"Leicester and Leicestershire LEP","inemployment","Occupation","Protective service occupations",1,"4000"
"Leicester and Leicestershire LEP","inemployment","Occupation","Culture media and sports occupations",1,"10200"
"Leicester and Leicestershire LEP","inemployment","Occupation","Business and public service associate professionals",1,"40700"
"Leicester and Leicestershire LSIP","inemployment","Occupation","Corporate managers and directors",1,"40400"
"Leicester and Leicestershire LSIP","inemployment","Occupation","Other managers and proprietors",1,"14200"
"Leicester and Leicestershire LSIP","inemployment","Occupation","Health professionals",1,"15600"
"Leicester and Leicestershire LSIP","inemployment","Occupation","Teaching and educational professionals",1,"26400"
"Leicester and Leicestershire LSIP","inemployment","Occupation","Business media and public service professionals",1,"23500"
"Leicester and Leicestershire LSIP","inemployment","Occupation","Science engineering and technology associate professionals",1,"13200"
"Leicester and Leicestershire LSIP","inemployment","Occupation","Health and social care associate professionals",1,"9000"
"Leicester and Leicestershire LSIP","inemployment","Occupation","Protective service occupations",1,"4000"
"Leicester and Leicestershire LSIP","inemployment","Occupation","Culture media and sports occupations",1,"10200"
"Leicester and Leicestershire LSIP","inemployment","Occupation","Business and public service associate professionals",1,"40700"
"Liverpool City Region LEP","inemployment","Occupation","Corporate managers and directors",1,"41900"
"Liverpool City Region LEP","inemployment","Occupation","Other managers and proprietors",1,"22200"
"Liverpool City Region LEP","inemployment","Occupation","Science research engineering and technology professionals",1,"48400"
"Liverpool City Region LEP","inemployment","Occupation","Health professionals",1,"36200"
"Liverpool City Region LEP","inemployment","Occupation","Teaching and educational professionals",1,"44800"
"Liverpool City Region LEP","inemployment","Occupation","Business media and public service professionals",1,"37600"
"Liverpool City Region LEP","inemployment","Occupation","Science engineering and technology associate professionals",1,"13400"
"Liverpool City Region LEP","inemployment","Occupation","Health and social care associate professionals",1,"15900"
"Liverpool City Region LEP","inemployment","Occupation","Protective service occupations",1,"11400"
"Liverpool City Region LEP","inemployment","Occupation","Culture media and sports occupations",1,"14000"
"Liverpool City Region LSIP","inemployment","Occupation","Corporate managers and directors",1,"41900"
"Liverpool City Region LSIP","inemployment","Occupation","Other managers and proprietors",1,"22200"
"Liverpool City Region LSIP","inemployment","Occupation","Science research engineering and technology professionals",1,"48400"
"Liverpool City Region LSIP","inemployment","Occupation","Health professionals",1,"36200"
"Liverpool City Region LSIP","inemployment","Occupation","Teaching and educational professionals",1,"44800"
"Liverpool City Region LSIP","inemployment","Occupation","Business media and public service professionals",1,"37600"
"Liverpool City Region LSIP","inemployment","Occupation","Science engineering and technology associate professionals",1,"13400"
"Liverpool City Region LSIP","inemployment","Occupation","Health and social care associate professionals",1,"15900"
"Liverpool City Region LSIP","inemployment","Occupation","Protective service occupations",1,"11400"
"Liverpool City Region LSIP","inemployment","Occupation","Culture media and sports occupations",1,"14000"
"Liverpool City Region MCA","inemployment","Occupation","Corporate managers and directors",1,"41900"
"Liverpool City Region MCA","inemployment","Occupation","Other managers and proprietors",1,"22200"
"Liverpool City Region MCA","inemployment","Occupation","Science research engineering and technology professionals",1,"48400"
"Liverpool City Region MCA","inemployment","Occupation","Health professionals",1,"36200"
"Liverpool City Region MCA","inemployment","Occupation","Teaching and educational professionals",1,"44800"
"Liverpool City Region MCA","inemployment","Occupation","Business media and public service professionals",1,"37600"
"Liverpool City Region MCA","inemployment","Occupation","Science engineering and technology associate professionals",1,"13400"
"Liverpool City Region MCA","inemployment","Occupation","Health and social care associate professionals",1,"15900"
"Liverpool City Region MCA","inemployment","Occupation","Protective service occupations",1,"11400"
"Liverpool City Region MCA","inemployment","Occupation","Culture media and sports occupations",1,"14000"
"London LEP","inemployment","Occupation","Corporate managers and directors",1,"458900"
"London LEP","inemployment","Occupation","Other managers and proprietors",1,"140000"
"London LEP","inemployment","Occupation","Science research engineering and technology professionals",1,"473300"
"London LEP","inemployment","Occupation","Health professionals",1,"210700"
"London LEP","inemployment","Occupation","Teaching and educational professionals",1,"246600"
"London LEP","inemployment","Occupation","Business media and public service professionals",1,"521500"
"London LEP","inemployment","Occupation","Science engineering and technology associate professionals",1,"61800"
"London LEP","inemployment","Occupation","Health and social care associate professionals",1,"76600"
"London LEP","inemployment","Occupation","Protective service occupations",1,"26800"
"London LEP","inemployment","Occupation","Culture media and sports occupations",1,"211100"
"New Anglia LEP","inemployment","Occupation","Corporate managers and directors",1,"51800"
"New Anglia LEP","inemployment","Occupation","Other managers and proprietors",1,"31400"
"New Anglia LEP","inemployment","Occupation","Science research engineering and technology professionals",1,"46600"
"New Anglia LEP","inemployment","Occupation","Health professionals",1,"27100"
"New Anglia LEP","inemployment","Occupation","Teaching and educational professionals",1,"27400"
"New Anglia LEP","inemployment","Occupation","Business media and public service professionals",1,"40400"
"New Anglia LEP","inemployment","Occupation","Science engineering and technology associate professionals",1,"12200"
"New Anglia LEP","inemployment","Occupation","Culture media and sports occupations",1,"11900"
"New Anglia LEP","inemployment","Occupation","Business and public service associate professionals",1,"58800"
"New Anglia LEP","inemployment","Occupation","Administrative occupations",1,"62700"
"Norfolk and Suffolk LSIP","inemployment","Occupation","Corporate managers and directors",1,"51800"
"Norfolk and Suffolk LSIP","inemployment","Occupation","Other managers and proprietors",1,"31400"
"Norfolk and Suffolk LSIP","inemployment","Occupation","Science research engineering and technology professionals",1,"46600"
"Norfolk and Suffolk LSIP","inemployment","Occupation","Health professionals",1,"27100"
"Norfolk and Suffolk LSIP","inemployment","Occupation","Teaching and educational professionals",1,"27400"
"Norfolk and Suffolk LSIP","inemployment","Occupation","Business media and public service professionals",1,"40400"
"Norfolk and Suffolk LSIP","inemployment","Occupation","Science engineering and technology associate professionals",1,"12200"
"Norfolk and Suffolk LSIP","inemployment","Occupation","Culture media and sports occupations",1,"11900"
"Norfolk and Suffolk LSIP","inemployment","Occupation","Business and public service associate professionals",1,"58800"
"Norfolk and Suffolk LSIP","inemployment","Occupation","Administrative occupations",1,"62700"
"North East LEP","inemployment","Occupation","Corporate managers and directors",1,"51200"
"North East LEP","inemployment","Occupation","Other managers and proprietors",1,"23800"
"North East LEP","inemployment","Occupation","Science research engineering and technology professionals",1,"49000"
"North East LEP","inemployment","Occupation","Health professionals",1,"38800"
"North East LEP","inemployment","Occupation","Teaching and educational professionals",1,"48500"
"North East LEP","inemployment","Occupation","Business media and public service professionals",1,"36000"
"North East LEP","inemployment","Occupation","Science engineering and technology associate professionals",1,"18500"
"North East LEP","inemployment","Occupation","Health and social care associate professionals",1,"19300"
"North East LEP","inemployment","Occupation","Protective service occupations",1,"7900"
"North East LEP","inemployment","Occupation","Culture media and sports occupations",1,"16100"
"North East LSIP","inemployment","Occupation","Corporate managers and directors",1,"30200"
"North East LSIP","inemployment","Occupation","Other managers and proprietors",1,"13900"
"North East LSIP","inemployment","Occupation","Science research engineering and technology professionals",1,"26300"
"North East LSIP","inemployment","Occupation","Health professionals",1,"19900"
"North East LSIP","inemployment","Occupation","Teaching and educational professionals",1,"23500"
"North East LSIP","inemployment","Occupation","Business media and public service professionals",1,"19600"
"North East LSIP","inemployment","Occupation","Science engineering and technology associate professionals",1,"8600"
"North East LSIP","inemployment","Occupation","Health and social care associate professionals",1,"11600"
"North East LSIP","inemployment","Occupation","Protective service occupations",1,"4800"
"North East LSIP","inemployment","Occupation","Culture media and sports occupations",1,"10000"
"North East MCA","inemployment","Occupation","Corporate managers and directors",1,"30200"
"North East MCA","inemployment","Occupation","Other managers and proprietors",1,"13900"
"North East MCA","inemployment","Occupation","Science research engineering and technology professionals",1,"26300"
"North East MCA","inemployment","Occupation","Health professionals",1,"19900"
"North East MCA","inemployment","Occupation","Teaching and educational professionals",1,"23500"
"North East MCA","inemployment","Occupation","Business media and public service professionals",1,"19600"
"North East MCA","inemployment","Occupation","Science engineering and technology associate professionals",1,"8600"
"North East MCA","inemployment","Occupation","Health and social care associate professionals",1,"11600"
"North East MCA","inemployment","Occupation","Protective service occupations",1,"4800"
"North East MCA","inemployment","Occupation","Culture media and sports occupations",1,"10000"
"North of Tyne LSIP","inemployment","Occupation","Corporate managers and directors",1,"21000"
"North of Tyne LSIP","inemployment","Occupation","Other managers and proprietors",1,"9800"
"North of Tyne LSIP","inemployment","Occupation","Science research engineering and technology professionals",1,"22600"
"North of Tyne LSIP","inemployment","Occupation","Health professionals",1,"18900"
"North of Tyne LSIP","inemployment","Occupation","Teaching and educational professionals",1,"25000"
"North of Tyne LSIP","inemployment","Occupation","Business media and public service professionals",1,"16300"
"North of Tyne LSIP","inemployment","Occupation","Science engineering and technology associate professionals",1,"9900"
"North of Tyne LSIP","inemployment","Occupation","Health and social care associate professionals",1,"7600"
"North of Tyne LSIP","inemployment","Occupation","Protective service occupations",1,"3100"
"North of Tyne LSIP","inemployment","Occupation","Culture media and sports occupations",1,"6100"
"North of Tyne MCA","inemployment","Occupation","Corporate managers and directors",1,"21000"
"North of Tyne MCA","inemployment","Occupation","Other managers and proprietors",1,"9800"
"North of Tyne MCA","inemployment","Occupation","Science research engineering and technology professionals",1,"22600"
"North of Tyne MCA","inemployment","Occupation","Health professionals",1,"18900"
"North of Tyne MCA","inemployment","Occupation","Teaching and educational professionals",1,"25000"
"North of Tyne MCA","inemployment","Occupation","Business media and public service professionals",1,"16300"
"North of Tyne MCA","inemployment","Occupation","Science engineering and technology associate professionals",1,"9900"
"North of Tyne MCA","inemployment","Occupation","Health and social care associate professionals",1,"7600"
"North of Tyne MCA","inemployment","Occupation","Protective service occupations",1,"3100"
"North of Tyne MCA","inemployment","Occupation","Culture media and sports occupations",1,"6100"
"Oxfordshire LEP","inemployment","Occupation","Corporate managers and directors",1,"30000"
"Oxfordshire LEP","inemployment","Occupation","Other managers and proprietors",1,"7200"
"Oxfordshire LEP","inemployment","Occupation","Science research engineering and technology professionals",1,"37900"
"Oxfordshire LEP","inemployment","Occupation","Health professionals",1,"13300"
"Oxfordshire LEP","inemployment","Occupation","Teaching and educational professionals",1,"25800"
"Oxfordshire LEP","inemployment","Occupation","Business media and public service professionals",1,"29100"
"Oxfordshire LEP","inemployment","Occupation","Science engineering and technology associate professionals",1,"6600"
"Oxfordshire LEP","inemployment","Occupation","Health and social care associate professionals",1,"3100"
"Oxfordshire LEP","inemployment","Occupation","Protective service occupations",1,"2200"
"Oxfordshire LEP","inemployment","Occupation","Business and public service associate professionals",1,"24900"
"Oxfordshire LSIP","inemployment","Occupation","Corporate managers and directors",1,"30000"
"Oxfordshire LSIP","inemployment","Occupation","Other managers and proprietors",1,"7200"
"Oxfordshire LSIP","inemployment","Occupation","Science research engineering and technology professionals",1,"37900"
"Oxfordshire LSIP","inemployment","Occupation","Health professionals",1,"13300"
"Oxfordshire LSIP","inemployment","Occupation","Teaching and educational professionals",1,"25800"
"Oxfordshire LSIP","inemployment","Occupation","Business media and public service professionals",1,"29100"
"Oxfordshire LSIP","inemployment","Occupation","Science engineering and technology associate professionals",1,"6600"
"Oxfordshire LSIP","inemployment","Occupation","Health and social care associate professionals",1,"3100"
"Oxfordshire LSIP","inemployment","Occupation","Protective service occupations",1,"2200"
"Oxfordshire LSIP","inemployment","Occupation","Business and public service associate professionals",1,"24900"
"Sheffield City Region LEP","inemployment","Occupation","Corporate managers and directors",1,"33400"
"Sheffield City Region LEP","inemployment","Occupation","Other managers and proprietors",1,"17500"
"Sheffield City Region LEP","inemployment","Occupation","Science research engineering and technology professionals",1,"37500"
"Sheffield City Region LEP","inemployment","Occupation","Health professionals",1,"33600"
"Sheffield City Region LEP","inemployment","Occupation","Teaching and educational professionals",1,"35000"
"Sheffield City Region LEP","inemployment","Occupation","Business media and public service professionals",1,"34900"
"Sheffield City Region LEP","inemployment","Occupation","Science engineering and technology associate professionals",1,"11100"
"Sheffield City Region LEP","inemployment","Occupation","Health and social care associate professionals",1,"11600"
"Sheffield City Region LEP","inemployment","Occupation","Protective service occupations",1,"5700"
"Sheffield City Region LEP","inemployment","Occupation","Culture media and sports occupations",1,"8200"
"Solent LEP","inemployment","Occupation","Corporate managers and directors",1,"37200"
"Solent LEP","inemployment","Occupation","Other managers and proprietors",1,"24000"
"Solent LEP","inemployment","Occupation","Science research engineering and technology professionals",1,"41300"
"Solent LEP","inemployment","Occupation","Health professionals",1,"24800"
"Solent LEP","inemployment","Occupation","Teaching and educational professionals",1,"33100"
"Solent LEP","inemployment","Occupation","Business media and public service professionals",1,"36200"
"Solent LEP","inemployment","Occupation","Science engineering and technology associate professionals",1,"14100"
"Solent LEP","inemployment","Occupation","Health and social care associate professionals",1,"8700"
"Solent LEP","inemployment","Occupation","Protective service occupations",1,"6900"
"Solent LEP","inemployment","Occupation","Culture media and sports occupations",1,"15000"
"Solent LSIP","inemployment","Occupation","Corporate managers and directors",1,"37200"
"Solent LSIP","inemployment","Occupation","Other managers and proprietors",1,"24000"
"Solent LSIP","inemployment","Occupation","Science research engineering and technology professionals",1,"41300"
"Solent LSIP","inemployment","Occupation","Health professionals",1,"24800"
"Solent LSIP","inemployment","Occupation","Teaching and educational professionals",1,"33100"
"Solent LSIP","inemployment","Occupation","Business media and public service professionals",1,"36200"
"Solent LSIP","inemployment","Occupation","Science engineering and technology associate professionals",1,"14100"
"Solent LSIP","inemployment","Occupation","Health and social care associate professionals",1,"8700"
"Solent LSIP","inemployment","Occupation","Protective service occupations",1,"6900"
"Solent LSIP","inemployment","Occupation","Culture media and sports occupations",1,"15000"
"South East LEP","inemployment","Occupation","Corporate managers and directors",1,"161700"
"South East LEP","inemployment","Occupation","Other managers and proprietors",1,"55300"
"South East LEP","inemployment","Occupation","Science research engineering and technology professionals",1,"122100"
"South East LEP","inemployment","Occupation","Health professionals",1,"70200"
"South East LEP","inemployment","Occupation","Teaching and educational professionals",1,"116100"
"South East LEP","inemployment","Occupation","Business media and public service professionals",1,"119900"
"South East LEP","inemployment","Occupation","Science engineering and technology associate professionals",1,"28400"
"South East LEP","inemployment","Occupation","Protective service occupations",1,"35900"
"South East LEP","inemployment","Occupation","Culture media and sports occupations",1,"48000"
"South East LEP","inemployment","Occupation","Business and public service associate professionals",1,"174400"
"South East Midlands LEP","inemployment","Occupation","Corporate managers and directors",1,"67700"
"South East Midlands LEP","inemployment","Occupation","Other managers and proprietors",1,"18900"
"South East Midlands LEP","inemployment","Occupation","Science research engineering and technology professionals",1,"69300"
"South East Midlands LEP","inemployment","Occupation","Health professionals",1,"27600"
"South East Midlands LEP","inemployment","Occupation","Teaching and educational professionals",1,"37500"
"South East Midlands LEP","inemployment","Occupation","Business media and public service professionals",1,"40900"
